Text Collection,# of Positive Labeled Documents,α,C,F1 Score
oh0,10,0.2,0.1,0.2462
oh0,10,0.2,1,0.0636
oh0,10,0.2,10,0.0644
oh0,10,0.2,100,0.0644
oh0,10,0.2,1000,0.0644
oh0,10,0.4,0.1,0.3625
oh0,10,0.4,1,0.0599
oh0,10,0.4,10,0.0601
oh0,10,0.4,100,0.0601
oh0,10,0.4,1000,0.0601
oh0,10,0.6,0.1,0.3625
oh0,10,0.6,1,0.0599
oh0,10,0.6,10,0.0601
oh0,10,0.6,100,0.0601
oh0,10,0.6,1000,0.0601
oh0,10,0.8,0.1,0.2462
oh0,10,0.8,1,0.0636
oh0,10,0.8,10,0.0644
oh0,10,0.8,100,0.0644
oh0,10,0.8,1000,0.0644
oh0,10,1.0,0.1,0.1271
oh0,10,1.0,1,0.0572
oh0,10,1.0,10,0.0582
oh0,10,1.0,100,0.0582
oh0,10,1.0,1000,0.0582
oh0,20,0.2,0.1,0.4222
oh0,20,0.2,1,0.2121
oh0,20,0.2,10,0.2121
oh0,20,0.2,100,0.2121
oh0,20,0.2,1000,0.2121
oh0,20,0.4,0.1,0.4997
oh0,20,0.4,1,0.2042
oh0,20,0.4,10,0.2041
oh0,20,0.4,100,0.2041
oh0,20,0.4,1000,0.2041
oh0,20,0.6,0.1,0.4997
oh0,20,0.6,1,0.2042
oh0,20,0.6,10,0.2041
oh0,20,0.6,100,0.2041
oh0,20,0.6,1000,0.2041
oh0,20,0.8,0.1,0.4222
oh0,20,0.8,1,0.2121
oh0,20,0.8,10,0.2121
oh0,20,0.8,100,0.2121
oh0,20,0.8,1000,0.2121
oh0,20,1.0,0.1,0.3167
oh0,20,1.0,1,0.2040
oh0,20,1.0,10,0.2042
oh0,20,1.0,100,0.2042
oh0,20,1.0,1000,0.2042
oh0,30,0.2,0.1,0.5256
oh0,30,0.2,1,0.3910
oh0,30,0.2,10,0.3919
oh0,30,0.2,100,0.3919
oh0,30,0.2,1000,0.3919
oh0,30,0.4,0.1,0.5761
oh0,30,0.4,1,0.3809
oh0,30,0.4,10,0.3812
oh0,30,0.4,100,0.3812
oh0,30,0.4,1000,0.3812
oh0,30,0.6,0.1,0.5761
oh0,30,0.6,1,0.3809
oh0,30,0.6,10,0.3812
oh0,30,0.6,100,0.3812
oh0,30,0.6,1000,0.3812
oh0,30,0.8,0.1,0.5256
oh0,30,0.8,1,0.3910
oh0,30,0.8,10,0.3919
oh0,30,0.8,100,0.3919
oh0,30,0.8,1000,0.3919
oh0,30,1.0,0.1,0.4711
oh0,30,1.0,1,0.3843
oh0,30,1.0,10,0.3852
oh0,30,1.0,100,0.3852
oh0,30,1.0,1000,0.3852
oh0,5,0.2,0.1,0.0946
oh0,5,0.2,1,0.0219
oh0,5,0.2,10,0.0220
oh0,5,0.2,100,0.0220
oh0,5,0.2,1000,0.0220
oh0,5,0.4,0.1,0.1730
oh0,5,0.4,1,0.0181
oh0,5,0.4,10,0.0181
oh0,5,0.4,100,0.0181
oh0,5,0.4,1000,0.0181
oh0,5,0.6,0.1,0.1730
oh0,5,0.6,1,0.0181
oh0,5,0.6,10,0.0181
oh0,5,0.6,100,0.0181
oh0,5,0.6,1000,0.0181
oh0,5,0.8,0.1,0.0946
oh0,5,0.8,1,0.0219
oh0,5,0.8,10,0.0220
oh0,5,0.8,100,0.0220
oh0,5,0.8,1000,0.0220
oh0,5,1.0,0.1,0.0262
oh0,5,1.0,1,0.0167
oh0,5,1.0,10,0.0168
oh0,5,1.0,100,0.0168
oh0,5,1.0,1000,0.0168
oh5,1,0.2,0.1,0.0015
oh5,1,0.2,1,0.0016
oh5,1,0.2,10,0.0016
oh5,1,0.2,100,0.0016
oh5,1,0.2,1000,0.0016
oh5,1,0.4,0.1,0.0085
oh5,1,0.4,1,0.0012
oh5,1,0.4,10,0.0012
oh5,1,0.4,100,0.0012
oh5,1,0.4,1000,0.0012
oh5,1,0.6,0.1,0.0085
oh5,1,0.6,1,0.0012
oh5,1,0.6,10,0.0012
oh5,1,0.6,100,0.0012
oh5,1,0.6,1000,0.0012
oh5,1,0.8,0.1,0.0015
oh5,1,0.8,1,0.0016
oh5,1,0.8,10,0.0016
oh5,1,0.8,100,0.0016
oh5,1,0.8,1000,0.0016
oh5,1,1.0,0.1,0.0000
oh5,1,1.0,1,0.0018
oh5,1,1.0,10,0.0018
oh5,1,1.0,100,0.0018
oh5,1,1.0,1000,0.0018
oh5,10,0.2,0.1,0.1850
oh5,10,0.2,1,0.0641
oh5,10,0.2,10,0.0641
oh5,10,0.2,100,0.0641
oh5,10,0.2,1000,0.0641
oh5,10,0.4,0.1,0.2964
oh5,10,0.4,1,0.0623
oh5,10,0.4,10,0.0623
oh5,10,0.4,100,0.0623
oh5,10,0.4,1000,0.0623
oh5,10,0.6,0.1,0.2964
oh5,10,0.6,1,0.0623
oh5,10,0.6,10,0.0623
oh5,10,0.6,100,0.0623
oh5,10,0.6,1000,0.0623
oh5,10,0.8,0.1,0.1850
oh5,10,0.8,1,0.0641
oh5,10,0.8,10,0.0641
oh5,10,0.8,100,0.0641
oh5,10,0.8,1000,0.0641
oh5,10,1.0,0.1,0.0851
oh5,10,1.0,1,0.0605
oh5,10,1.0,10,0.0605
oh5,10,1.0,100,0.0605
oh5,10,1.0,1000,0.0605
oh5,20,0.2,0.1,0.3879
oh5,20,0.2,1,0.2153
oh5,20,0.2,10,0.2157
oh5,20,0.2,100,0.2157
oh5,20,0.2,1000,0.2157
oh5,20,0.4,0.1,0.4945
oh5,20,0.4,1,0.2162
oh5,20,0.4,10,0.2168
oh5,20,0.4,100,0.2168
oh5,20,0.4,1000,0.2168
oh5,20,0.6,0.1,0.4945
oh5,20,0.6,1,0.2162
oh5,20,0.6,10,0.2168
oh5,20,0.6,100,0.2168
oh5,20,0.6,1000,0.2168
oh5,20,0.8,0.1,0.3879
oh5,20,0.8,1,0.2153
oh5,20,0.8,10,0.2157
oh5,20,0.8,100,0.2157
oh5,20,0.8,1000,0.2157
oh5,20,1.0,0.1,0.2922
oh5,20,1.0,1,0.2072
oh5,20,1.0,10,0.2078
oh5,20,1.0,100,0.2078
oh5,20,1.0,1000,0.2078
oh5,30,0.2,0.1,0.5111
oh5,30,0.2,1,0.3771
oh5,30,0.2,10,0.3788
oh5,30,0.2,100,0.3788
oh5,30,0.2,1000,0.3788
oh5,30,0.4,0.1,0.5716
oh5,30,0.4,1,0.3753
oh5,30,0.4,10,0.3765
oh5,30,0.4,100,0.3765
oh5,30,0.4,1000,0.3765
oh5,30,0.6,0.1,0.5716
oh5,30,0.6,1,0.3753
oh5,30,0.6,10,0.3765
oh5,30,0.6,100,0.3765
oh5,30,0.6,1000,0.3765
oh5,30,0.8,0.1,0.5111
oh5,30,0.8,1,0.3771
oh5,30,0.8,10,0.3788
oh5,30,0.8,100,0.3788
oh5,30,0.8,1000,0.3788
oh5,30,1.0,0.1,0.4432
oh5,30,1.0,1,0.3763
oh5,30,1.0,10,0.3772
oh5,30,1.0,100,0.3772
oh5,30,1.0,1000,0.3772
oh5,5,0.2,0.1,0.0535
oh5,5,0.2,1,0.0230
oh5,5,0.2,10,0.0230
oh5,5,0.2,100,0.0230
oh5,5,0.2,1000,0.0230
oh5,5,0.4,0.1,0.1234
oh5,5,0.4,1,0.0215
oh5,5,0.4,10,0.0215
oh5,5,0.4,100,0.0215
oh5,5,0.4,1000,0.0215
oh5,5,0.6,0.1,0.1234
oh5,5,0.6,1,0.0215
oh5,5,0.6,10,0.0215
oh5,5,0.6,100,0.0215
oh5,5,0.6,1000,0.0215
oh5,5,0.8,0.1,0.0535
oh5,5,0.8,1,0.0230
oh5,5,0.8,10,0.0230
oh5,5,0.8,100,0.0230
oh5,5,0.8,1000,0.0230
oh5,5,1.0,0.1,0.0128
oh5,5,1.0,1,0.0215
oh5,5,1.0,10,0.0215
oh5,5,1.0,100,0.0215
oh5,5,1.0,1000,0.0215
oh10,1,0.2,0.1,0.0021
oh10,1,0.2,1,0.0013
oh10,1,0.2,10,0.0013
oh10,1,0.2,100,0.0013
oh10,1,0.2,1000,0.0013
oh10,1,0.4,0.1,0.0050
oh10,1,0.4,1,0.0009
oh10,1,0.4,10,0.0009
oh10,1,0.4,100,0.0009
oh10,1,0.4,1000,0.0009
oh10,1,0.6,0.1,0.0050
oh10,1,0.6,1,0.0009
oh10,1,0.6,10,0.0009
oh10,1,0.6,100,0.0009
oh10,1,0.6,1000,0.0009
oh10,1,0.8,0.1,0.0021
oh10,1,0.8,1,0.0013
oh10,1,0.8,10,0.0013
oh10,1,0.8,100,0.0013
oh10,1,0.8,1000,0.0013
oh10,1,1.0,0.1,0.0004
oh10,1,1.0,1,0.0014
oh10,1,1.0,10,0.0014
oh10,1,1.0,100,0.0014
oh10,1,1.0,1000,0.0014
oh10,10,0.2,0.1,0.1683
oh10,10,0.2,1,0.0446
oh10,10,0.2,10,0.0432
oh10,10,0.2,100,0.0432
oh10,10,0.2,1000,0.0432
oh10,10,0.4,0.1,0.2726
oh10,10,0.4,1,0.0458
oh10,10,0.4,10,0.0462
oh10,10,0.4,100,0.0462
oh10,10,0.4,1000,0.0462
oh10,10,0.6,0.1,0.2726
oh10,10,0.6,1,0.0458
oh10,10,0.6,10,0.0462
oh10,10,0.6,100,0.0462
oh10,10,0.6,1000,0.0462
oh10,10,0.8,0.1,0.1683
oh10,10,0.8,1,0.0446
oh10,10,0.8,10,0.0432
oh10,10,0.8,100,0.0432
oh10,10,0.8,1000,0.0432
oh10,10,1.0,0.1,0.0552
oh10,10,1.0,1,0.0379
oh10,10,1.0,10,0.0383
oh10,10,1.0,100,0.0383
oh10,10,1.0,1000,0.0383
oh10,20,0.2,0.1,0.3453
oh10,20,0.2,1,0.1582
oh10,20,0.2,10,0.1587
oh10,20,0.2,100,0.1587
oh10,20,0.2,1000,0.1587
oh10,20,0.4,0.1,0.4445
oh10,20,0.4,1,0.1618
oh10,20,0.4,10,0.1622
oh10,20,0.4,100,0.1622
oh10,20,0.4,1000,0.1622
oh10,20,0.6,0.1,0.4445
oh10,20,0.6,1,0.1618
oh10,20,0.6,10,0.1622
oh10,20,0.6,100,0.1622
oh10,20,0.6,1000,0.1622
oh10,20,0.8,0.1,0.3453
oh10,20,0.8,1,0.1582
oh10,20,0.8,10,0.1587
oh10,20,0.8,100,0.1587
oh10,20,0.8,1000,0.1587
oh10,20,1.0,0.1,0.2588
oh10,20,1.0,1,0.1521
oh10,20,1.0,10,0.1531
oh10,20,1.0,100,0.1531
oh10,20,1.0,1000,0.1531
oh10,30,0.2,0.1,0.4639
oh10,30,0.2,1,0.2843
oh10,30,0.2,10,0.2884
oh10,30,0.2,100,0.2884
