Text Collection,# of Positive Labeled Documents,k,One Class Learning Threshold,F1 Score
CSTR,1,1,0.55,0.0119
CSTR,1,1,0.60,0.0025
CSTR,1,1,0.65,0.0025
CSTR,1,1,0.70,0.0025
CSTR,1,1,0.75,0.0015
CSTR,1,1,0.80,0.0015
CSTR,1,1,0.85,0.0015
CSTR,1,1,0.90,0.0004
CSTR,1,1,0.95,0.0004
CSTR,1,1,average+1sigma,0.0000
CSTR,1,1,average+2sigma,0.0000
CSTR,1,1,average+3sigma,0.0000
CSTR,1,1,average-1sigma,0.0000
CSTR,1,1,average-2sigma,0.0000
CSTR,1,1,average-3sigma,0.0000
CSTR,1,1,average,0.0000
CSTR,1,1,minimum,0.0000
CSTR,1,3,0.05,0.4752
CSTR,1,3,0.10,0.3266
CSTR,1,3,0.15,0.2057
CSTR,1,3,0.20,0.1465
CSTR,1,3,0.25,0.1019
CSTR,1,3,0.30,0.0681
CSTR,1,3,0.35,0.0469
CSTR,1,3,0.40,0.0309
CSTR,1,3,0.45,0.0189
CSTR,1,3,0.50,0.0143
CSTR,1,3,0.55,0.0119
CSTR,1,3,0.60,0.0025
CSTR,1,3,0.65,0.0025
CSTR,1,3,0.70,0.0025
CSTR,1,3,0.75,0.0015
CSTR,1,3,0.80,0.0015
CSTR,1,3,0.85,0.0015
CSTR,1,3,0.90,0.0004
CSTR,1,3,0.95,0.0004
CSTR,1,3,average+1sigma,0.0000
CSTR,1,3,average+2sigma,0.0000
CSTR,1,3,average+3sigma,0.0000
CSTR,1,3,average-1sigma,0.0000
CSTR,1,3,average-2sigma,0.0000
CSTR,1,3,average-3sigma,0.0000
CSTR,1,3,average,0.0000
CSTR,1,3,minimum,0.0000
CSTR,1,5,0.05,0.4752
CSTR,1,5,0.10,0.3266
CSTR,1,5,0.15,0.2057
CSTR,1,5,0.20,0.1465
CSTR,1,5,0.25,0.1019
CSTR,1,5,0.30,0.0681
CSTR,1,5,0.35,0.0469
CSTR,1,5,0.40,0.0309
CSTR,1,5,0.45,0.0189
CSTR,1,5,0.50,0.0143
CSTR,1,5,0.55,0.0119
CSTR,1,5,0.60,0.0025
CSTR,1,5,0.65,0.0025
CSTR,1,5,0.70,0.0025
CSTR,1,5,0.75,0.0015
CSTR,1,5,0.80,0.0015
CSTR,1,5,0.85,0.0015
CSTR,1,5,0.90,0.0004
CSTR,1,5,0.95,0.0004
CSTR,1,5,average+1sigma,0.0000
CSTR,1,5,average+2sigma,0.0000
CSTR,1,5,average+3sigma,0.0000
CSTR,1,5,average-1sigma,0.0000
CSTR,1,5,average-2sigma,0.0000
CSTR,1,5,average-3sigma,0.0000
CSTR,1,5,average,0.0000
CSTR,1,5,minimum,0.0000
CSTR,1,7,0.05,0.4752
CSTR,1,7,0.10,0.3266
CSTR,1,7,0.15,0.2057
CSTR,1,7,0.20,0.1465
CSTR,1,7,0.25,0.1019
CSTR,1,7,0.30,0.0681
CSTR,1,7,0.35,0.0469
CSTR,1,7,0.40,0.0309
CSTR,1,7,0.45,0.0189
CSTR,1,7,0.50,0.0143
CSTR,1,7,0.55,0.0119
CSTR,1,7,0.60,0.0025
CSTR,1,7,0.65,0.0025
CSTR,1,7,0.70,0.0025
CSTR,1,7,0.75,0.0015
CSTR,1,7,0.80,0.0015
CSTR,1,7,0.85,0.0015
CSTR,1,7,0.90,0.0004
CSTR,1,7,0.95,0.0004
CSTR,1,7,average+1sigma,0.0000
CSTR,1,7,average+2sigma,0.0000
CSTR,1,7,average+3sigma,0.0000
CSTR,1,7,average-1sigma,0.0000
CSTR,1,7,average-2sigma,0.0000
CSTR,1,7,average-3sigma,0.0000
CSTR,1,7,average,0.0000
CSTR,1,7,minimum,0.0000
CSTR,1,9,0.05,0.4752
CSTR,1,9,0.10,0.3266
CSTR,1,9,0.15,0.2057
CSTR,1,9,0.20,0.1465
CSTR,1,9,0.25,0.1019
CSTR,1,9,0.30,0.0681
CSTR,1,9,0.35,0.0469
CSTR,1,9,0.40,0.0309
CSTR,1,9,0.45,0.0189
CSTR,1,9,0.50,0.0143
CSTR,1,9,0.55,0.0119
CSTR,1,9,0.60,0.0025
CSTR,1,9,0.65,0.0025
CSTR,1,9,0.70,0.0025
CSTR,1,9,0.75,0.0015
CSTR,1,9,0.80,0.0015
CSTR,1,9,0.85,0.0015
CSTR,1,9,0.90,0.0004
CSTR,1,9,0.95,0.0004
CSTR,1,9,average+1sigma,0.0000
CSTR,1,9,average+2sigma,0.0000
CSTR,1,9,average+3sigma,0.0000
CSTR,1,9,average-1sigma,0.0000
CSTR,1,9,average-2sigma,0.0000
CSTR,1,9,average-3sigma,0.0000
CSTR,1,9,average,0.0000
CSTR,1,9,minimum,0.0000
CSTR,10,11,0.05,0.4636
CSTR,10,11,0.10,0.6232
CSTR,10,11,0.15,0.5999
CSTR,10,11,0.20,0.4966
CSTR,10,11,0.25,0.4087
CSTR,10,11,0.30,0.2986
CSTR,10,11,0.35,0.2274
CSTR,10,11,0.40,0.1377
CSTR,10,11,0.45,0.0992
CSTR,10,11,0.50,0.0861
CSTR,10,11,0.55,0.0482
CSTR,10,11,0.60,0.0267
CSTR,10,11,0.65,0.0213
CSTR,10,11,0.70,0.0143
CSTR,10,11,0.75,0.0081
CSTR,10,11,0.80,0.0081
CSTR,10,11,0.85,0.0081
CSTR,10,11,0.90,0.0014
CSTR,10,11,0.95,0.0014
CSTR,10,11,average+1sigma,0.0041
CSTR,10,11,average+2sigma,0.0014
CSTR,10,11,average+3sigma,0.0004
CSTR,10,11,average-1sigma,0.0081
CSTR,10,11,average-2sigma,0.0099
CSTR,10,11,average-3sigma,0.0189
CSTR,10,11,average,0.0054
CSTR,10,11,minimum,0.0817
CSTR,10,13,0.05,0.4636
CSTR,10,13,0.10,0.6232
CSTR,10,13,0.15,0.5999
CSTR,10,13,0.20,0.4966
CSTR,10,13,0.25,0.4087
CSTR,10,13,0.30,0.2986
CSTR,10,13,0.35,0.2274
CSTR,10,13,0.40,0.1377
CSTR,10,13,0.45,0.0992
CSTR,10,13,0.50,0.0861
CSTR,10,13,0.55,0.0482
CSTR,10,13,0.60,0.0267
CSTR,10,13,0.65,0.0213
CSTR,10,13,0.70,0.0143
CSTR,10,13,0.75,0.0081
CSTR,10,13,0.80,0.0081
CSTR,10,13,0.85,0.0081
CSTR,10,13,0.90,0.0014
CSTR,10,13,0.95,0.0014
CSTR,10,13,average+1sigma,0.0041
CSTR,10,13,average+2sigma,0.0014
CSTR,10,13,average+3sigma,0.0004
CSTR,10,13,average-1sigma,0.0081
CSTR,10,13,average-2sigma,0.0099
CSTR,10,13,average-3sigma,0.0189
CSTR,10,13,average,0.0054
CSTR,10,13,minimum,0.0817
CSTR,10,15,0.05,0.4636
CSTR,10,15,0.10,0.6232
CSTR,10,15,0.15,0.5999
CSTR,10,15,0.20,0.4966
CSTR,10,15,0.25,0.4087
CSTR,10,15,0.30,0.2986
CSTR,10,15,0.35,0.2274
CSTR,10,15,0.40,0.1377
CSTR,10,15,0.45,0.0992
CSTR,10,15,0.50,0.0861
CSTR,10,15,0.55,0.0482
CSTR,10,15,0.60,0.0267
CSTR,10,15,0.65,0.0213
CSTR,10,15,0.70,0.0143
CSTR,10,15,0.75,0.0081
CSTR,10,15,0.80,0.0081
CSTR,10,15,0.85,0.0081
CSTR,10,15,0.90,0.0014
CSTR,10,15,0.95,0.0014
CSTR,10,15,average+1sigma,0.0041
CSTR,10,15,average+2sigma,0.0014
CSTR,10,15,average+3sigma,0.0004
CSTR,10,15,average-1sigma,0.0081
CSTR,10,15,average-2sigma,0.0099
CSTR,10,15,average-3sigma,0.0189
CSTR,10,15,average,0.0054
CSTR,10,15,minimum,0.0817
CSTR,10,17,0.05,0.4636
CSTR,10,17,0.10,0.6232
CSTR,10,17,0.15,0.5999
CSTR,10,17,0.20,0.4966
CSTR,10,17,0.25,0.4087
CSTR,10,17,0.30,0.2986
CSTR,10,17,0.35,0.2274
CSTR,10,17,0.40,0.1377
CSTR,10,17,0.45,0.0992
CSTR,10,17,0.50,0.0861
CSTR,10,17,0.55,0.0482
CSTR,10,17,0.60,0.0267
CSTR,10,17,0.65,0.0213
CSTR,10,17,0.70,0.0143
CSTR,10,17,0.75,0.0081
CSTR,10,17,0.80,0.0081
CSTR,10,17,0.85,0.0081
CSTR,10,17,0.90,0.0014
CSTR,10,17,0.95,0.0014
CSTR,10,17,average+1sigma,0.0041
CSTR,10,17,average+2sigma,0.0014
CSTR,10,17,average+3sigma,0.0004
CSTR,10,17,average-1sigma,0.0081
CSTR,10,17,average-2sigma,0.0099
CSTR,10,17,average-3sigma,0.0189
CSTR,10,17,average,0.0054
CSTR,10,17,minimum,0.0817
CSTR,10,19,0.05,0.4636
CSTR,10,19,0.10,0.6232
CSTR,10,19,0.15,0.5999
CSTR,10,19,0.20,0.4966
CSTR,10,19,0.25,0.4087
CSTR,10,19,0.30,0.2986
CSTR,10,19,0.35,0.2274
CSTR,10,19,0.40,0.1377
CSTR,10,19,0.45,0.0992
CSTR,10,19,0.50,0.0861
CSTR,10,19,0.55,0.0482
CSTR,10,19,0.60,0.0267
CSTR,10,19,0.65,0.0213
CSTR,10,19,0.70,0.0143
CSTR,10,19,0.75,0.0081
CSTR,10,19,0.80,0.0081
CSTR,10,19,0.85,0.0081
CSTR,10,19,0.90,0.0014
CSTR,10,19,0.95,0.0014
CSTR,10,19,average+1sigma,0.0041
CSTR,10,19,average+2sigma,0.0014
CSTR,10,19,average+3sigma,0.0004
CSTR,10,19,average-1sigma,0.0081
CSTR,10,19,average-2sigma,0.0099
CSTR,10,19,average-3sigma,0.0189
CSTR,10,19,average,0.0054
CSTR,10,19,minimum,0.0817
CSTR,10,1,0.05,0.4841
CSTR,10,1,0.10,0.6757
CSTR,10,1,0.15,0.5931
CSTR,10,1,0.20,0.4149
CSTR,10,1,0.25,0.2673
CSTR,10,1,0.30,0.1591
CSTR,10,1,0.35,0.1069
CSTR,10,1,0.40,0.0428
CSTR,10,1,0.45,0.0255
CSTR,10,1,0.50,0.0144
CSTR,10,1,0.55,0.0072
CSTR,10,1,0.60,0.0027
CSTR,10,1,0.65,0.0000
CSTR,10,1,0.70,0.0000
CSTR,10,1,0.75,0.0000
CSTR,10,1,0.80,0.0000
CSTR,10,1,0.85,0.0000
CSTR,10,1,0.90,0.0000
CSTR,10,1,0.95,0.0000
CSTR,10,1,average+1sigma,0.0304
CSTR,10,1,average+2sigma,0.0264
CSTR,10,1,average+3sigma,0.0210
CSTR,10,1,average-1sigma,0.0589
CSTR,10,1,average-2sigma,0.1009
CSTR,10,1,average-3sigma,0.1694
CSTR,10,1,average,0.0380
CSTR,10,1,minimum,0.4158
CSTR,10,3,0.05,0.4871
CSTR,10,3,0.10,0.6563
CSTR,10,3,0.15,0.5940
CSTR,10,3,0.20,0.4526
CSTR,10,3,0.25,0.3323
CSTR,10,3,0.30,0.2399
CSTR,10,3,0.35,0.1616
CSTR,10,3,0.40,0.1006
CSTR,10,3,0.45,0.0516
CSTR,10,3,0.50,0.0314
CSTR,10,3,0.55,0.0213
CSTR,10,3,0.60,0.0102
CSTR,10,3,0.65,0.0058
CSTR,10,3,0.70,0.0031
CSTR,10,3,0.75,0.0018
CSTR,10,3,0.80,0.0018
CSTR,10,3,0.85,0.0004
CSTR,10,3,0.90,0.0004
CSTR,10,3,0.95,0.0004
CSTR,10,3,average+1sigma,0.0133
CSTR,10,3,average+2sigma,0.0089
CSTR,10,3,average+3sigma,0.0076
CSTR,10,3,average-1sigma,0.0251
CSTR,10,3,average-2sigma,0.0365
CSTR,10,3,average-3sigma,0.1159
CSTR,10,3,average,0.0176
CSTR,10,3,minimum,0.2515
CSTR,10,5,0.05,0.4754
CSTR,10,5,0.10,0.6356
CSTR,10,5,0.15,0.5923
CSTR,10,5,0.20,0.4665
CSTR,10,5,0.25,0.3588
CSTR,10,5,0.30,0.2694
CSTR,10,5,0.35,0.1820
CSTR,10,5,0.40,0.1071
CSTR,10,5,0.45,0.0744
CSTR,10,5,0.50,0.0466
CSTR,10,5,0.55,0.0342
CSTR,10,5,0.60,0.0195
CSTR,10,5,0.65,0.0126
CSTR,10,5,0.70,0.0089
CSTR,10,5,0.75,0.0063
CSTR,10,5,0.80,0.0045
CSTR,10,5,0.85,0.0018
CSTR,10,5,0.90,0.0004
CSTR,10,5,0.95,0.0004
CSTR,10,5,average+1sigma,0.0089
CSTR,10,5,average+2sigma,0.0049
CSTR,10,5,average+3sigma,0.0035
CSTR,10,5,average-1sigma,0.0143
CSTR,10,5,average-2sigma,0.0223
CSTR,10,5,average-3sigma,0.0445
CSTR,10,5,average,0.0093
CSTR,10,5,minimum,0.1818
CSTR,10,7,0.05,0.4706
CSTR,10,7,0.10,0.6371
CSTR,10,7,0.15,0.5946
CSTR,10,7,0.20,0.4784
CSTR,10,7,0.25,0.3861
CSTR,10,7,0.30,0.2806
CSTR,10,7,0.35,0.1955
CSTR,10,7,0.40,0.1314
CSTR,10,7,0.45,0.0978
CSTR,10,7,0.50,0.0673
CSTR,10,7,0.55,0.0353
CSTR,10,7,0.60,0.0182
CSTR,10,7,0.65,0.0129
CSTR,10,7,0.70,0.0089
CSTR,10,7,0.75,0.0062
CSTR,10,7,0.80,0.0049
CSTR,10,7,0.85,0.0036
CSTR,10,7,0.90,0.0004
CSTR,10,7,0.95,0.0004
CSTR,10,7,average+1sigma,0.0062
CSTR,10,7,average+2sigma,0.0049
CSTR,10,7,average+3sigma,0.0049
CSTR,10,7,average-1sigma,0.0076
CSTR,10,7,average-2sigma,0.0192
CSTR,10,7,average-3sigma,0.0435
CSTR,10,7,average,0.0062
CSTR,10,7,minimum,0.1696
CSTR,10,9,0.05,0.4626
CSTR,10,9,0.10,0.6259
CSTR,10,9,0.15,0.5944
CSTR,10,9,0.20,0.4853
CSTR,10,9,0.25,0.3964
CSTR,10,9,0.30,0.3123
CSTR,10,9,0.35,0.2191
CSTR,10,9,0.40,0.1486
CSTR,10,9,0.45,0.1012
CSTR,10,9,0.50,0.0808
CSTR,10,9,0.55,0.0485
CSTR,10,9,0.60,0.0261
CSTR,10,9,0.65,0.0218
CSTR,10,9,0.70,0.0129
CSTR,10,9,0.75,0.0085
CSTR,10,9,0.80,0.0085
CSTR,10,9,0.85,0.0085
CSTR,10,9,0.90,0.0004
CSTR,10,9,0.95,0.0004
CSTR,10,9,average+1sigma,0.0045
CSTR,10,9,average+2sigma,0.0031
CSTR,10,9,average+3sigma,0.0018
CSTR,10,9,average-1sigma,0.0091
CSTR,10,9,average-2sigma,0.0163
CSTR,10,9,average-3sigma,0.0264
CSTR,10,9,average,0.0072
CSTR,10,9,minimum,0.1112
CSTR,20,11,0.05,0.3821
CSTR,20,11,0.10,0.5700
CSTR,20,11,0.15,0.6221
CSTR,20,11,0.20,0.5554
CSTR,20,11,0.25,0.4613
CSTR,20,11,0.30,0.3799
CSTR,20,11,0.35,0.2919
CSTR,20,11,0.40,0.1912
CSTR,20,11,0.45,0.1454
CSTR,20,11,0.50,0.0997
CSTR,20,11,0.55,0.0616
CSTR,20,11,0.60,0.0412
CSTR,20,11,0.65,0.0241
CSTR,20,11,0.70,0.0155
CSTR,20,11,0.75,0.0091
CSTR,20,11,0.80,0.0073
CSTR,20,11,0.85,0.0073
CSTR,20,11,0.90,0.0011
CSTR,20,11,0.95,0.0011
CSTR,20,11,average+1sigma,0.0096
CSTR,20,11,average+2sigma,0.0077
CSTR,20,11,average+3sigma,0.0054
CSTR,20,11,average-1sigma,0.0314
CSTR,20,11,average-2sigma,0.0783
CSTR,20,11,average-3sigma,0.1223
CSTR,20,11,average,0.0220
CSTR,20,11,minimum,0.4042
CSTR,20,13,0.05,0.3787
CSTR,20,13,0.10,0.5562
CSTR,20,13,0.15,0.6196
CSTR,20,13,0.20,0.5730
CSTR,20,13,0.25,0.5080
CSTR,20,13,0.30,0.4229
CSTR,20,13,0.35,0.3527
CSTR,20,13,0.40,0.2318
CSTR,20,13,0.45,0.1746
CSTR,20,13,0.50,0.1145
CSTR,20,13,0.55,0.0691
CSTR,20,13,0.60,0.0453
CSTR,20,13,0.65,0.0367
CSTR,20,13,0.70,0.0297
CSTR,20,13,0.75,0.0216
CSTR,20,13,0.80,0.0191
CSTR,20,13,0.85,0.0149
CSTR,20,13,0.90,0.0015
CSTR,20,13,0.95,0.0015
CSTR,20,13,average+1sigma,0.0196
CSTR,20,13,average+2sigma,0.0131
CSTR,20,13,average+3sigma,0.0089
CSTR,20,13,average-1sigma,0.0278
CSTR,20,13,average-2sigma,0.0335
CSTR,20,13,average-3sigma,0.0495
CSTR,20,13,average,0.0225
CSTR,20,13,minimum,0.2781
CSTR,20,15,0.05,0.3780
CSTR,20,15,0.10,0.5539
CSTR,20,15,0.15,0.6152
CSTR,20,15,0.20,0.5838
CSTR,20,15,0.25,0.4997
CSTR,20,15,0.30,0.4436
CSTR,20,15,0.35,0.3510
CSTR,20,15,0.40,0.2301
CSTR,20,15,0.45,0.1781
CSTR,20,15,0.50,0.1409
CSTR,20,15,0.55,0.0750
CSTR,20,15,0.60,0.0414
CSTR,20,15,0.65,0.0349
CSTR,20,15,0.70,0.0262
CSTR,20,15,0.75,0.0197
CSTR,20,15,0.80,0.0179
CSTR,20,15,0.85,0.0156
CSTR,20,15,0.90,0.0026
CSTR,20,15,0.95,0.0021
CSTR,20,15,average+1sigma,0.0142
CSTR,20,15,average+2sigma,0.0087
CSTR,20,15,average+3sigma,0.0049
CSTR,20,15,average-1sigma,0.0261
CSTR,20,15,average-2sigma,0.0390
CSTR,20,15,average-3sigma,0.0519
CSTR,20,15,average,0.0189
CSTR,20,15,minimum,0.2348
CSTR,20,17,0.05,0.3778
CSTR,20,17,0.10,0.5544
CSTR,20,17,0.15,0.6193
CSTR,20,17,0.20,0.5632
CSTR,20,17,0.25,0.5029
CSTR,20,17,0.30,0.4363
CSTR,20,17,0.35,0.3128
CSTR,20,17,0.40,0.2173
CSTR,20,17,0.45,0.1473
CSTR,20,17,0.50,0.1175
CSTR,20,17,0.55,0.0836
CSTR,20,17,0.60,0.0495
CSTR,20,17,0.65,0.0294
CSTR,20,17,0.70,0.0196
CSTR,20,17,0.75,0.0150
CSTR,20,17,0.80,0.0144
CSTR,20,17,0.85,0.0126
CSTR,20,17,0.90,0.0015
CSTR,20,17,0.95,0.0015
CSTR,20,17,average+1sigma,0.0114
CSTR,20,17,average+2sigma,0.0077
CSTR,20,17,average+3sigma,0.0053
CSTR,20,17,average-1sigma,0.0173
CSTR,20,17,average-2sigma,0.0237
CSTR,20,17,average-3sigma,0.0462
CSTR,20,17,average,0.0155
CSTR,20,17,minimum,0.3623
CSTR,20,19,0.05,0.3780
CSTR,20,19,0.10,0.5514
CSTR,20,19,0.15,0.6242
CSTR,20,19,0.20,0.5654
CSTR,20,19,0.25,0.5120
CSTR,20,19,0.30,0.4391
CSTR,20,19,0.35,0.3325
CSTR,20,19,0.40,0.2390
CSTR,20,19,0.45,0.1657
CSTR,20,19,0.50,0.1253
CSTR,20,19,0.55,0.0868
CSTR,20,19,0.60,0.0444
CSTR,20,19,0.65,0.0348
CSTR,20,19,0.70,0.0204
CSTR,20,19,0.75,0.0161
CSTR,20,19,0.80,0.0161
CSTR,20,19,0.85,0.0142
CSTR,20,19,0.90,0.0026
CSTR,20,19,0.95,0.0026
CSTR,20,19,average+1sigma,0.0124
CSTR,20,19,average+2sigma,0.0101
CSTR,20,19,average+3sigma,0.0082
CSTR,20,19,average-1sigma,0.0235
CSTR,20,19,average-2sigma,0.0271
CSTR,20,19,average-3sigma,0.0351
CSTR,20,19,average,0.0174
CSTR,20,19,minimum,0.2174
CSTR,20,1,0.05,0.3808
CSTR,20,1,0.10,0.6284
CSTR,20,1,0.15,0.6506
CSTR,20,1,0.20,0.5563
CSTR,20,1,0.25,0.3715
CSTR,20,1,0.30,0.2451
CSTR,20,1,0.35,0.1557
CSTR,20,1,0.40,0.0694
CSTR,20,1,0.45,0.0380
CSTR,20,1,0.50,0.0218
CSTR,20,1,0.55,0.0074
CSTR,20,1,0.60,0.0037
CSTR,20,1,0.65,0.0000
CSTR,20,1,0.70,0.0000
CSTR,20,1,0.75,0.0000
CSTR,20,1,0.80,0.0000
CSTR,20,1,0.85,0.0000
CSTR,20,1,0.90,0.0000
CSTR,20,1,0.95,0.0000
CSTR,20,1,average+1sigma,0.1127
CSTR,20,1,average+2sigma,0.0868
CSTR,20,1,average+3sigma,0.0766
CSTR,20,1,average-1sigma,0.1970
CSTR,20,1,average-2sigma,0.2467
CSTR,20,1,average-3sigma,0.3146
CSTR,20,1,average,0.1267
CSTR,20,1,minimum,0.6561
CSTR,20,3,0.05,0.3868
CSTR,20,3,0.10,0.6138
CSTR,20,3,0.15,0.6413
CSTR,20,3,0.20,0.5354
CSTR,20,3,0.25,0.4241
CSTR,20,3,0.30,0.2980
CSTR,20,3,0.35,0.1920
CSTR,20,3,0.40,0.0998
CSTR,20,3,0.45,0.0686
CSTR,20,3,0.50,0.0504
CSTR,20,3,0.55,0.0362
CSTR,20,3,0.60,0.0193
CSTR,20,3,0.65,0.0133
CSTR,20,3,0.70,0.0110
CSTR,20,3,0.75,0.0074
CSTR,20,3,0.80,0.0056
CSTR,20,3,0.85,0.0019
CSTR,20,3,0.90,0.0000
CSTR,20,3,0.95,0.0000
CSTR,20,3,average+1sigma,0.0604
CSTR,20,3,average+2sigma,0.0492
CSTR,20,3,average+3sigma,0.0472
CSTR,20,3,average-1sigma,0.0707
CSTR,20,3,average-2sigma,0.1038
CSTR,20,3,average-3sigma,0.1527
CSTR,20,3,average,0.0643
CSTR,20,3,minimum,0.5557
CSTR,20,5,0.05,0.3899
CSTR,20,5,0.10,0.5925
CSTR,20,5,0.15,0.6337
CSTR,20,5,0.20,0.5574
CSTR,20,5,0.25,0.4360
CSTR,20,5,0.30,0.3749
CSTR,20,5,0.35,0.2761
CSTR,20,5,0.40,0.1654
CSTR,20,5,0.45,0.0903
CSTR,20,5,0.50,0.0587
CSTR,20,5,0.55,0.0419
CSTR,20,5,0.60,0.0270
CSTR,20,5,0.65,0.0194
CSTR,20,5,0.70,0.0158
CSTR,20,5,0.75,0.0134
CSTR,20,5,0.80,0.0056
CSTR,20,5,0.85,0.0000
CSTR,20,5,0.90,0.0000
CSTR,20,5,0.95,0.0000
CSTR,20,5,average+1sigma,0.0381
