Text Collection,Classifier (NB/EM),# of Positive Labeled Documents,α,λ,# of iterations (m),Weight of Unlabeled Documents in EM,F1 Score,Standard Deviation,Negative Precision
re0,EM,20,0.99,0.7,2,0.9,0.1762,0.1615,0.9243
re0,EM,20,0.99,0.7,3,0.1,0.2665,0.1539,0.9286
re0,EM,20,0.99,0.7,3,0.3,0.2352,0.1607,0.9286
re0,EM,20,0.99,0.7,3,0.5,0.2079,0.1616,0.9286
re0,EM,20,0.99,0.7,3,0.7,0.1975,0.1641,0.9286
re0,EM,20,0.99,0.7,3,0.9,0.1872,0.1664,0.9286
re0,EM,20,0.99,0.8,1,0.1,0.3848,0.1956,0.9190
re0,EM,20,0.99,0.8,1,0.3,0.2515,0.1566,0.9190
re0,EM,20,0.99,0.8,1,0.5,0.1966,0.1581,0.9190
re0,EM,20,0.99,0.8,1,0.7,0.1722,0.1629,0.9190
re0,EM,20,0.99,0.8,1,0.9,0.1535,0.1641,0.9190
re0,EM,20,0.99,0.8,2,0.1,0.2704,0.1569,0.9235
re0,EM,20,0.99,0.8,2,0.3,0.2264,0.1533,0.9235
re0,EM,20,0.99,0.8,2,0.5,0.1952,0.1563,0.9235
re0,EM,20,0.99,0.8,2,0.7,0.1779,0.1598,0.9235
re0,EM,20,0.99,0.8,2,0.9,0.1678,0.1623,0.9235
re0,EM,20,0.99,0.8,3,0.1,0.2494,0.1563,0.9274
re0,EM,20,0.99,0.8,3,0.3,0.2195,0.1598,0.9274
re0,EM,20,0.99,0.8,3,0.5,0.1993,0.1617,0.9274
re0,EM,20,0.99,0.8,3,0.7,0.1852,0.1641,0.9274
re0,EM,20,0.99,0.8,3,0.9,0.1766,0.1664,0.9274
re0,EM,30,0.99,0.6,1,0.1,0.3932,0.2089,0.9188
re0,EM,30,0.99,0.6,1,0.3,0.3146,0.1948,0.9298
re0,EM,30,0.99,0.6,1,0.5,0.2468,0.1933,0.9298
re0,EM,30,0.99,0.6,1,0.7,0.2196,0.1830,0.9298
re0,EM,30,0.99,0.6,1,0.9,0.2022,0.1822,0.9298
re0,EM,30,0.99,0.6,2,0.1,0.3023,0.1946,0.9359
re0,EM,30,0.99,0.6,2,0.3,0.2709,0.2052,0.9359
re0,EM,30,0.99,0.6,2,0.5,0.2283,0.2016,0.9359
re0,EM,30,0.99,0.6,2,0.7,0.2163,0.1991,0.9359
re0,EM,30,0.99,0.6,2,0.9,0.2101,0.1998,0.9359
re0,EM,30,0.99,0.6,3,0.1,0.2806,0.2045,0.9390
re0,EM,30,0.99,0.6,3,0.3,0.2531,0.2098,0.9390
re0,EM,30,0.99,0.6,3,0.5,0.2287,0.2139,0.9390
re0,EM,30,0.99,0.6,3,0.7,0.2217,0.2172,0.9390
re0,EM,30,0.99,0.6,3,0.9,0.2151,0.2169,0.9390
re0,EM,30,0.99,0.7,1,0.1,0.3998,0.2047,0.9298
re0,EM,30,0.99,0.7,1,0.3,0.3140,0.1913,0.9298
re0,EM,30,0.99,0.7,1,0.5,0.2467,0.1918,0.9298
re0,EM,30,0.99,0.7,1,0.7,0.2228,0.1845,0.9298
re0,EM,30,0.99,0.7,1,0.9,0.1960,0.1791,0.9298
re0,EM,30,0.99,0.7,2,0.1,0.2969,0.1877,0.9356
re0,EM,30,0.99,0.7,2,0.3,0.2581,0.1943,0.9356
re0,EM,30,0.99,0.7,2,0.5,0.2251,0.1945,0.9356
re0,EM,30,0.99,0.7,2,0.7,0.2142,0.1934,0.9356
re0,EM,30,0.99,0.7,2,0.9,0.2027,0.1904,0.9356
re0,EM,30,0.99,0.7,3,0.1,0.2730,0.2086,0.9392
re0,EM,30,0.99,0.7,3,0.3,0.2486,0.2076,0.9392
re0,EM,30,0.99,0.7,3,0.5,0.2273,0.2082,0.9392
re0,EM,30,0.99,0.7,3,0.7,0.2150,0.2057,0.9392
re0,EM,30,0.99,0.7,3,0.9,0.2077,0.2022,0.9392
re0,EM,30,0.99,0.8,1,0.1,0.4016,0.2032,0.9296
re0,EM,30,0.99,0.8,1,0.3,0.2832,0.1919,0.9296
re0,EM,30,0.99,0.8,1,0.5,0.2184,0.1732,0.9296
re0,EM,30,0.99,0.8,1,0.7,0.1954,0.1725,0.9296
re0,EM,30,0.99,0.8,1,0.9,0.1799,0.1719,0.9296
re0,EM,30,0.99,0.8,2,0.1,0.2848,0.1825,0.9352
re0,EM,30,0.99,0.8,2,0.3,0.2504,0.1892,0.9352
re0,EM,30,0.99,0.8,2,0.5,0.2211,0.1861,0.9352
re0,EM,30,0.99,0.8,2,0.7,0.2056,0.1850,0.9352
re0,EM,30,0.99,0.8,2,0.9,0.1944,0.1841,0.9352
re0,EM,30,0.99,0.8,3,0.1,0.2627,0.2038,0.9390
re0,EM,30,0.99,0.8,3,0.3,0.2417,0.2046,0.9390
re0,EM,30,0.99,0.8,3,0.5,0.2186,0.1978,0.9390
re0,EM,30,0.99,0.8,3,0.7,0.2096,0.1965,0.9390
re0,EM,30,0.99,0.8,3,0.9,0.2020,0.1942,0.9390
re0,NB,1,0.99,0.6,1,0.1,0.0403,0.0744,0.9242
re0,NB,1,0.99,0.6,2,0.1,0.0497,0.1012,0.9246
re0,NB,1,0.99,0.6,3,0.1,0.0525,0.1067,0.9248
re0,NB,1,0.99,0.7,1,0.1,0.0436,0.0813,0.9243
re0,NB,1,0.99,0.7,2,0.1,0.0516,0.1020,0.9246
re0,NB,1,0.99,0.7,3,0.1,0.0560,0.1164,0.9251
re0,NB,1,0.99,0.8,1,0.1,0.0467,0.0916,0.9242
re0,NB,1,0.99,0.8,2,0.1,0.0525,0.1087,0.9246
re0,NB,1,0.99,0.8,3,0.1,0.0577,0.1252,0.9251
re0,NB,5,0.99,0.6,1,0.1,0.0490,0.0881,0.9279
re0,NB,5,0.99,0.6,2,0.1,0.0572,0.1165,0.9287
re0,NB,5,0.99,0.6,3,0.1,0.0620,0.1199,0.9294
re0,NB,5,0.99,0.7,1,0.1,0.0485,0.0949,0.9278
re0,NB,5,0.99,0.7,2,0.1,0.0621,0.1216,0.9291
re0,NB,5,0.99,0.7,3,0.1,0.0606,0.1264,0.9291
re0,NB,5,0.99,0.8,1,0.1,0.0504,0.0999,0.9277
re0,NB,5,0.99,0.8,2,0.1,0.0618,0.1215,0.9287
re0,NB,5,0.99,0.8,3,0.1,0.0614,0.1333,0.9290
re0,NB,10,0.99,0.6,1,0.1,0.0656,0.1041,0.9258
re0,NB,10,0.99,0.6,2,0.1,0.0798,0.1274,0.9351
re0,NB,10,0.99,0.6,3,0.1,0.1027,0.1433,0.9370
re0,NB,10,0.99,0.7,1,0.1,0.0614,0.1071,0.9335
re0,NB,10,0.99,0.7,2,0.1,0.0787,0.1323,0.9354
re0,NB,10,0.99,0.7,3,0.1,0.0917,0.1435,0.9364
re0,NB,10,0.99,0.8,1,0.1,0.0587,0.1107,0.9334
re0,NB,10,0.99,0.8,2,0.1,0.0736,0.1329,0.9349
re0,NB,10,0.99,0.8,3,0.1,0.0819,0.1409,0.9359
re0,NB,20,0.99,0.6,1,0.1,0.1639,0.1366,0.9186
re0,NB,20,0.99,0.6,2,0.1,0.2373,0.1552,0.9249
re0,NB,20,0.99,0.6,3,0.1,0.2491,0.1553,0.9288
re0,NB,20,0.99,0.7,1,0.1,0.1509,0.1348,0.9191
re0,NB,20,0.99,0.7,2,0.1,0.2141,0.1515,0.9243
re0,NB,20,0.99,0.7,3,0.1,0.2366,0.1502,0.9286
re0,NB,20,0.99,0.8,1,0.1,0.1261,0.1361,0.9190
re0,NB,20,0.99,0.8,2,0.1,0.1943,0.1524,0.9235
re0,NB,20,0.99,0.8,3,0.1,0.2173,0.1529,0.9274
re0,NB,30,0.99,0.6,1,0.1,0.2117,0.1538,0.9298
re0,NB,30,0.99,0.6,2,0.1,0.2493,0.1792,0.9359
re0,NB,30,0.99,0.6,3,0.1,0.2571,0.2041,0.9390
re0,NB,30,0.99,0.7,1,0.1,0.1947,0.1519,0.9298
re0,NB,30,0.99,0.7,2,0.1,0.2397,0.1716,0.9356
re0,NB,30,0.99,0.7,3,0.1,0.2476,0.1978,0.9392
re0,NB,30,0.99,0.8,1,0.1,0.1646,0.1490,0.9296
re0,NB,30,0.99,0.8,2,0.1,0.2314,0.1700,0.9352
re0,NB,30,0.99,0.8,3,0.1,0.2331,0.1894,0.9390
oh15,EM,1,0.99,0.6,1,0.1,0.0120,0.0215,0.9012
oh15,EM,1,0.99,0.6,1,0.3,0.0232,0.0725,0.9012
oh15,EM,1,0.99,0.6,1,0.5,0.0404,0.1286,0.9012
oh15,EM,1,0.99,0.6,1,0.7,0.0610,0.1743,0.9012
oh15,EM,1,0.99,0.6,1,0.9,0.0625,0.1739,0.9012
oh15,EM,1,0.99,0.6,2,0.1,0.0133,0.0289,0.9012
oh15,EM,1,0.99,0.6,2,0.3,0.0213,0.0706,0.9012
oh15,EM,1,0.99,0.6,2,0.5,0.0251,0.0785,0.9012
oh15,EM,1,0.99,0.6,2,0.7,0.0324,0.1044,0.9012
oh15,EM,1,0.99,0.6,2,0.9,0.0481,0.1440,0.9012
oh15,EM,1,0.99,0.6,3,0.1,0.0200,0.0440,0.9015
oh15,EM,1,0.99,0.6,3,0.3,0.0326,0.0858,0.9015
oh15,EM,1,0.99,0.6,3,0.5,0.0414,0.1130,0.9015
oh15,EM,1,0.99,0.6,3,0.7,0.0405,0.1092,0.9015
oh15,EM,1,0.99,0.6,3,0.9,0.0405,0.1095,0.9015
oh15,EM,1,0.99,0.7,1,0.1,0.0118,0.0211,0.9011
oh15,EM,1,0.99,0.7,1,0.3,0.0154,0.0292,0.9011
oh15,EM,1,0.99,0.7,1,0.5,0.0246,0.0794,0.9011
oh15,EM,1,0.99,0.7,1,0.7,0.0470,0.1454,0.9011
oh15,EM,1,0.99,0.7,1,0.9,0.0616,0.1741,0.9011
oh15,EM,1,0.99,0.7,2,0.1,0.0145,0.0306,0.9012
oh15,EM,1,0.99,0.7,2,0.3,0.0214,0.0707,0.9012
oh15,EM,1,0.99,0.7,2,0.5,0.0268,0.0814,0.9012
oh15,EM,1,0.99,0.7,2,0.7,0.0344,0.1064,0.9012
oh15,EM,1,0.99,0.7,2,0.9,0.0495,0.1450,0.9012
oh15,EM,1,0.99,0.7,3,0.1,0.0223,0.0591,0.9015
oh15,EM,1,0.99,0.7,3,0.3,0.0332,0.0887,0.9015
oh15,EM,1,0.99,0.7,3,0.5,0.0341,0.0889,0.9015
oh15,EM,1,0.99,0.7,3,0.7,0.0467,0.1290,0.9015
oh15,EM,1,0.99,0.7,3,0.9,0.0556,0.1464,0.9015
oh15,EM,1,0.99,0.8,1,0.1,0.0118,0.0213,0.9011
oh15,EM,1,0.99,0.8,1,0.3,0.0168,0.0301,0.9011
oh15,EM,1,0.99,0.8,1,0.5,0.0553,0.1617,0.9011
oh15,EM,1,0.99,0.8,1,0.7,0.0748,0.1870,0.9011
oh15,EM,1,0.99,0.8,1,0.9,0.0913,0.1970,0.9011
oh15,EM,1,0.99,0.8,2,0.1,0.0147,0.0285,0.9013
oh15,EM,1,0.99,0.8,2,0.3,0.0321,0.0985,0.9013
oh15,EM,1,0.99,0.8,2,0.5,0.0624,0.1748,0.9013
oh15,EM,1,0.99,0.8,2,0.7,0.0847,0.2083,0.9013
oh15,EM,1,0.99,0.8,2,0.9,0.0905,0.2076,0.9013
oh15,EM,1,0.99,0.8,3,0.1,0.0203,0.0612,0.9015
oh15,EM,1,0.99,0.8,3,0.3,0.0259,0.0763,0.9015
oh15,EM,1,0.99,0.8,3,0.5,0.0373,0.1102,0.9015
oh15,EM,1,0.99,0.8,3,0.7,0.0586,0.1596,0.9015
oh15,EM,1,0.99,0.8,3,0.9,0.0738,0.1859,0.9015
oh15,EM,5,0.99,0.6,1,0.1,0.1286,0.1814,0.9082
oh15,EM,5,0.99,0.6,1,0.3,0.2423,0.2994,0.9082
oh15,EM,5,0.99,0.6,1,0.5,0.2422,0.2836,0.9082
oh15,EM,5,0.99,0.6,1,0.7,0.2375,0.2758,0.9082
oh15,EM,5,0.99,0.6,1,0.9,0.2544,0.2775,0.9082
oh15,EM,5,0.99,0.6,2,0.1,0.1892,0.2541,0.9121
oh15,EM,5,0.99,0.6,2,0.3,0.2352,0.2713,0.9121
oh15,EM,5,0.99,0.6,2,0.5,0.2316,0.2480,0.9121
oh15,EM,5,0.99,0.6,2,0.7,0.2526,0.2519,0.9121
oh15,EM,5,0.99,0.6,2,0.9,0.2629,0.2528,0.9121
oh15,EM,5,0.99,0.6,3,0.1,0.2221,0.2745,0.9144
oh15,EM,5,0.99,0.6,3,0.3,0.2461,0.2648,0.9144
oh15,EM,5,0.99,0.6,3,0.5,0.2486,0.2459,0.9144
oh15,EM,5,0.99,0.6,3,0.7,0.2592,0.2487,0.9144
oh15,EM,5,0.99,0.6,3,0.9,0.2759,0.2570,0.9144
oh15,EM,5,0.99,0.7,1,0.1,0.1248,0.1715,0.9083
oh15,EM,5,0.99,0.7,1,0.3,0.2512,0.3054,0.9083
oh15,EM,5,0.99,0.7,1,0.5,0.2596,0.2935,0.9083
oh15,EM,5,0.99,0.7,1,0.7,0.2442,0.2760,0.9083
oh15,EM,5,0.99,0.7,1,0.9,0.2620,0.2879,0.9083
oh15,EM,5,0.99,0.7,2,0.1,0.1843,0.2536,0.9128
oh15,EM,5,0.99,0.7,2,0.3,0.2289,0.2744,0.9128
oh15,EM,5,0.99,0.7,2,0.5,0.2426,0.2630,0.9128
oh15,EM,5,0.99,0.7,2,0.7,0.2636,0.2599,0.9128
oh15,EM,5,0.99,0.7,2,0.9,0.2674,0.2636,0.9128
oh15,EM,5,0.99,0.7,3,0.1,0.2299,0.2731,0.9156
oh15,EM,5,0.99,0.7,3,0.3,0.2595,0.2738,0.9156
oh15,EM,5,0.99,0.7,3,0.5,0.2449,0.2469,0.9156
oh15,EM,5,0.99,0.7,3,0.7,0.2621,0.2548,0.9156
oh15,EM,5,0.99,0.7,3,0.9,0.2603,0.2496,0.9156
oh15,EM,5,0.99,0.8,1,0.1,0.1138,0.1657,0.9080
oh15,EM,5,0.99,0.8,1,0.3,0.2346,0.3004,0.9080
oh15,EM,5,0.99,0.8,1,0.5,0.2387,0.2905,0.9080
oh15,EM,5,0.99,0.8,1,0.7,0.2204,0.2635,0.9080
oh15,EM,5,0.99,0.8,1,0.9,0.2327,0.2720,0.9080
oh15,EM,5,0.99,0.8,2,0.1,0.1860,0.2513,0.9126
oh15,EM,5,0.99,0.8,2,0.3,0.2375,0.2798,0.9126
oh15,EM,5,0.99,0.8,2,0.5,0.2626,0.2784,0.9126
oh15,EM,5,0.99,0.8,2,0.7,0.2599,0.2652,0.9126
oh15,EM,5,0.99,0.8,2,0.9,0.2659,0.2646,0.9126
oh15,EM,5,0.99,0.8,3,0.1,0.2150,0.2695,0.9160
oh15,EM,5,0.99,0.8,3,0.3,0.2512,0.2770,0.9160
oh15,EM,5,0.99,0.8,3,0.5,0.2659,0.2757,0.9160
oh15,EM,5,0.99,0.8,3,0.7,0.2736,0.2711,0.9160
oh15,EM,5,0.99,0.8,3,0.9,0.2688,0.2644,0.9160
oh15,EM,10,0.99,0.6,1,0.1,0.3695,0.2784,0.9272
oh15,EM,10,0.99,0.6,1,0.3,0.4267,0.2734,0.9272
oh15,EM,10,0.99,0.6,1,0.5,0.3878,0.2431,0.9272
oh15,EM,10,0.99,0.6,1,0.7,0.3861,0.2376,0.9272
oh15,EM,10,0.99,0.6,1,0.9,0.3787,0.2325,0.9272
oh15,EM,10,0.99,0.6,2,0.1,0.3883,0.2716,0.9309
oh15,EM,10,0.99,0.6,2,0.3,0.4201,0.2518,0.9309
oh15,EM,10,0.99,0.6,2,0.5,0.4018,0.2223,0.9309
oh15,EM,10,0.99,0.6,2,0.7,0.3923,0.2156,0.9309
oh15,EM,10,0.99,0.6,2,0.9,0.3917,0.2147,0.9309
oh15,EM,10,0.99,0.6,3,0.1,0.3875,0.2698,0.9320
oh15,EM,10,0.99,0.6,3,0.3,0.4057,0.2422,0.9320
oh15,EM,10,0.99,0.6,3,0.5,0.3890,0.2181,0.9320
oh15,EM,10,0.99,0.6,3,0.7,0.3964,0.2139,0.9320
oh15,EM,10,0.99,0.6,3,0.9,0.3959,0.2146,0.9320
oh15,EM,10,0.99,0.7,1,0.1,0.3711,0.2829,0.9267
oh15,EM,10,0.99,0.7,1,0.3,0.4237,0.2780,0.9267
oh15,EM,10,0.99,0.7,1,0.5,0.4033,0.2606,0.9267
oh15,EM,10,0.99,0.7,1,0.7,0.3803,0.2460,0.9267
oh15,EM,10,0.99,0.7,1,0.9,0.3770,0.2428,0.9267
oh15,EM,10,0.99,0.7,2,0.1,0.3893,0.2745,0.9327
oh15,EM,10,0.99,0.7,2,0.3,0.4190,0.2534,0.9327
oh15,EM,10,0.99,0.7,2,0.5,0.3961,0.2217,0.9327
oh15,EM,10,0.99,0.7,2,0.7,0.3906,0.2154,0.9327
oh15,EM,10,0.99,0.7,2,0.9,0.3872,0.2121,0.9327
oh15,EM,10,0.99,0.7,3,0.1,0.3993,0.2676,0.9336
oh15,EM,10,0.99,0.7,3,0.3,0.4191,0.2427,0.9336
oh15,EM,10,0.99,0.7,3,0.5,0.4022,0.2144,0.9336
oh15,EM,10,0.99,0.7,3,0.7,0.3996,0.2114,0.9336
oh15,EM,10,0.99,0.7,3,0.9,0.3959,0.2102,0.9336
oh15,EM,10,0.99,0.8,1,0.1,0.3686,0.2892,0.9255
oh15,EM,10,0.99,0.8,1,0.3,0.4058,0.2850,0.9255
oh15,EM,10,0.99,0.8,1,0.5,0.3878,0.2690,0.9255
oh15,EM,10,0.99,0.8,1,0.7,0.3746,0.2584,0.9255
oh15,EM,10,0.99,0.8,1,0.9,0.3591,0.2505,0.9255
oh15,EM,10,0.99,0.8,2,0.1,0.3942,0.2778,0.9337
oh15,EM,10,0.99,0.8,2,0.3,0.4147,0.2565,0.9337
oh15,EM,10,0.99,0.8,2,0.5,0.3943,0.2255,0.9337
oh15,EM,10,0.99,0.8,2,0.7,0.3882,0.2150,0.9337
oh15,EM,10,0.99,0.8,2,0.9,0.3846,0.2107,0.9337
oh15,EM,10,0.99,0.8,3,0.1,0.4134,0.2625,0.9348
oh15,EM,10,0.99,0.8,3,0.3,0.4189,0.2451,0.9348
oh15,EM,10,0.99,0.8,3,0.5,0.4052,0.2095,0.9348
oh15,EM,10,0.99,0.8,3,0.7,0.4046,0.2055,0.9348
oh15,EM,10,0.99,0.8,3,0.9,0.3983,0.2063,0.9348
oh15,EM,20,0.99,0.6,1,0.1,0.5712,0.1981,0.9534
oh15,EM,20,0.99,0.6,1,0.3,0.5606,0.1782,0.9534
oh15,EM,20,0.99,0.6,1,0.5,0.5266,0.1711,0.9534
oh15,EM,20,0.99,0.6,1,0.7,0.5081,0.1703,0.9534
oh15,EM,20,0.99,0.6,1,0.9,0.4958,0.1774,0.9534
oh15,EM,20,0.99,0.6,2,0.1,0.5732,0.1890,0.9557
oh15,EM,20,0.99,0.6,2,0.3,0.5311,0.1768,0.9557
oh15,EM,20,0.99,0.6,2,0.5,0.5006,0.1644,0.9557
oh15,EM,20,0.99,0.6,2,0.7,0.4877,0.1674,0.9557
oh15,EM,20,0.99,0.6,2,0.9,0.4798,0.1705,0.9557
oh15,EM,20,0.99,0.6,3,0.1,0.5696,0.1857,0.9559
oh15,EM,20,0.99,0.6,3,0.3,0.5283,0.1717,0.9559
oh15,EM,20,0.99,0.6,3,0.5,0.4891,0.1657,0.9559
oh15,EM,20,0.99,0.6,3,0.7,0.4790,0.1683,0.9559
oh15,EM,20,0.99,0.6,3,0.9,0.4767,0.1700,0.9559
oh15,EM,20,0.99,0.7,1,0.1,0.5707,0.2010,0.9546
oh15,EM,20,0.99,0.7,1,0.3,0.5698,0.1786,0.9546
oh15,EM,20,0.99,0.7,1,0.5,0.5252,0.1832,0.9546
oh15,EM,20,0.99,0.7,1,0.7,0.4958,0.1905,0.9546
oh15,EM,20,0.99,0.7,1,0.9,0.4663,0.2007,0.9546
oh15,EM,20,0.99,0.7,2,0.1,0.5757,0.1817,0.9572
oh15,EM,20,0.99,0.7,2,0.3,0.5381,0.1717,0.9572
oh15,EM,20,0.99,0.7,2,0.5,0.5079,0.1679,0.9572
oh15,EM,20,0.99,0.7,2,0.7,0.4912,0.1644,0.9572
oh15,EM,20,0.99,0.7,2,0.9,0.4831,0.1684,0.9572
oh15,EM,20,0.99,0.7,3,0.1,0.5721,0.1805,0.9581
oh15,EM,20,0.99,0.7,3,0.3,0.5367,0.1678,0.9581
oh15,EM,20,0.99,0.7,3,0.5,0.4947,0.1670,0.9581
oh15,EM,20,0.99,0.7,3,0.7,0.4881,0.1672,0.9581
oh15,EM,20,0.99,0.7,3,0.9,0.4765,0.1702,0.9581
oh15,EM,20,0.99,0.8,1,0.1,0.5701,0.2003,0.9551
oh15,EM,20,0.99,0.8,1,0.3,0.5712,0.1768,0.9551
oh15,EM,20,0.99,0.8,1,0.5,0.5254,0.1873,0.9551
oh15,EM,20,0.99,0.8,1,0.7,0.4929,0.1956,0.9551
oh15,EM,20,0.99,0.8,1,0.9,0.4633,0.2066,0.9551
oh15,EM,20,0.99,0.8,2,0.1,0.5763,0.1755,0.9581
oh15,EM,20,0.99,0.8,2,0.3,0.5378,0.1725,0.9581
oh15,EM,20,0.99,0.8,2,0.5,0.5178,0.1665,0.9581
oh15,EM,20,0.99,0.8,2,0.7,0.4854,0.1725,0.9581
oh15,EM,20,0.99,0.8,2,0.9,0.4623,0.1832,0.9581
oh15,EM,20,0.99,0.8,3,0.1,0.5704,0.1794,0.9590
oh15,EM,20,0.99,0.8,3,0.3,0.5373,0.1675,0.9590
oh15,EM,20,0.99,0.8,3,0.5,0.5039,0.1626,0.9590
oh15,EM,20,0.99,0.8,3,0.7,0.4883,0.1677,0.9590
oh15,EM,20,0.99,0.8,3,0.9,0.4782,0.1706,0.9590
oh15,EM,30,0.99,0.6,1,0.1,0.6242,0.1455,0.9691
oh15,EM,30,0.99,0.6,1,0.3,0.5923,0.1480,0.9691
oh15,EM,30,0.99,0.6,1,0.5,0.5587,0.1595,0.9691
oh15,EM,30,0.99,0.6,1,0.7,0.5349,0.1654,0.9691
oh15,EM,30,0.99,0.6,1,0.9,0.5185,0.1676,0.9691
oh15,EM,30,0.99,0.6,2,0.1,0.6179,0.1361,0.9697
oh15,EM,30,0.99,0.6,2,0.3,0.5757,0.1469,0.9697
oh15,EM,30,0.99,0.6,2,0.5,0.5333,0.1604,0.9697
oh15,EM,30,0.99,0.6,2,0.7,0.5069,0.1692,0.9697
oh15,EM,30,0.99,0.6,2,0.9,0.4909,0.1768,0.9697
oh15,EM,30,0.99,0.6,3,0.1,0.6143,0.1367,0.9695
oh15,EM,30,0.99,0.6,3,0.3,0.5683,0.1453,0.9695
oh15,EM,30,0.99,0.6,3,0.5,0.5156,0.1611,0.9695
oh15,EM,30,0.99,0.6,3,0.7,0.4973,0.1729,0.9695
oh15,EM,30,0.99,0.6,3,0.9,0.4887,0.1746,0.9695
oh15,EM,30,0.99,0.7,1,0.1,0.6221,0.1479,0.9700
oh15,EM,30,0.99,0.7,1,0.3,0.6023,0.1394,0.9700
oh15,EM,30,0.99,0.7,1,0.5,0.5578,0.1686,0.9700
oh15,EM,30,0.99,0.7,1,0.7,0.5146,0.1803,0.9700
oh15,EM,30,0.99,0.7,1,0.9,0.4944,0.1877,0.9700
oh15,EM,30,0.99,0.7,2,0.1,0.6120,0.1369,0.9707
oh15,EM,30,0.99,0.7,2,0.3,0.5648,0.1534,0.9707
oh15,EM,30,0.99,0.7,2,0.5,0.5339,0.1607,0.9707
oh15,EM,30,0.99,0.7,2,0.7,0.4971,0.1702,0.9707
oh15,EM,30,0.99,0.7,2,0.9,0.4841,0.1748,0.9707
oh15,EM,30,0.99,0.7,3,0.1,0.6136,0.1328,0.9707
oh15,EM,30,0.99,0.7,3,0.3,0.5649,0.1466,0.9707
oh15,EM,30,0.99,0.7,3,0.5,0.5148,0.1587,0.9707
oh15,EM,30,0.99,0.7,3,0.7,0.4915,0.1731,0.9707
oh15,EM,30,0.99,0.7,3,0.9,0.4779,0.1779,0.9707
oh15,EM,30,0.99,0.8,1,0.1,0.6174,0.1471,0.9706
oh15,EM,30,0.99,0.8,1,0.3,0.5994,0.1396,0.9706
oh15,EM,30,0.99,0.8,1,0.5,0.5463,0.1717,0.9706
oh15,EM,30,0.99,0.8,1,0.7,0.4999,0.1867,0.9706
oh15,EM,30,0.99,0.8,1,0.9,0.4629,0.1884,0.9706
oh15,EM,30,0.99,0.8,2,0.1,0.6096,0.1369,0.9716
oh15,EM,30,0.99,0.8,2,0.3,0.5699,0.1502,0.9716
oh15,EM,30,0.99,0.8,2,0.5,0.5324,0.1620,0.9716
oh15,EM,30,0.99,0.8,2,0.7,0.4961,0.1726,0.9716
oh15,EM,30,0.99,0.8,2,0.9,0.4802,0.1786,0.9716
oh15,EM,30,0.99,0.8,3,0.1,0.6053,0.1330,0.9718
oh15,EM,30,0.99,0.8,3,0.3,0.5600,0.1476,0.9718
oh15,EM,30,0.99,0.8,3,0.5,0.5174,0.1647,0.9718
oh15,EM,30,0.99,0.8,3,0.7,0.4957,0.1736,0.9718
oh15,EM,30,0.99,0.8,3,0.9,0.4883,0.1789,0.9718
oh15,NB,1,0.99,0.6,1,0.1,0.0147,0.0241,0.9012
oh15,NB,1,0.99,0.6,2,0.1,0.0137,0.0215,0.9012
oh15,NB,1,0.99,0.6,3,0.1,0.0197,0.0358,0.9015
oh15,NB,1,0.99,0.7,1,0.1,0.0135,0.0216,0.9011
oh15,NB,1,0.99,0.7,2,0.1,0.0150,0.0252,0.9012
oh15,NB,1,0.99,0.7,3,0.1,0.0195,0.0400,0.9015
oh15,NB,1,0.99,0.8,1,0.1,0.0120,0.0215,0.9011
oh15,NB,1,0.99,0.8,2,0.1,0.0171,0.0276,0.9013
oh15,NB,1,0.99,0.8,3,0.1,0.0193,0.0405,0.9015
oh15,NB,5,0.99,0.6,1,0.1,0.0822,0.1114,0.9082
oh15,NB,5,0.99,0.6,2,0.1,0.1452,0.1998,0.9121
oh15,NB,5,0.99,0.6,3,0.1,0.1719,0.2260,0.9144
oh15,NB,5,0.99,0.7,1,0.1,0.0802,0.1040,0.9083
oh15,NB,5,0.99,0.7,2,0.1,0.1475,0.2035,0.9128
oh15,NB,5,0.99,0.7,3,0.1,0.1837,0.2328,0.9156
oh15,NB,5,0.99,0.8,1,0.1,0.0747,0.0998,0.9080
oh15,NB,5,0.99,0.8,2,0.1,0.1471,0.1989,0.9126
oh15,NB,5,0.99,0.8,3,0.1,0.1819,0.2393,0.9160
oh15,NB,10,0.99,0.6,1,0.1,0.2957,0.2572,0.9272
oh15,NB,10,0.99,0.6,2,0.1,0.3290,0.2692,0.9309
oh15,NB,10,0.99,0.6,3,0.1,0.3477,0.2681,0.9320
oh15,NB,10,0.99,0.7,1,0.1,0.2892,0.2522,0.9267
oh15,NB,10,0.99,0.7,2,0.1,0.3381,0.2704,0.9327
oh15,NB,10,0.99,0.7,3,0.1,0.3578,0.2641,0.9336
oh15,NB,10,0.99,0.8,1,0.1,0.2781,0.2470,0.9255
oh15,NB,10,0.99,0.8,2,0.1,0.3428,0.2759,0.9337
oh15,NB,10,0.99,0.8,3,0.1,0.3641,0.2663,0.9348
oh15,NB,20,0.99,0.6,1,0.1,0.5211,0.2275,0.9534
oh15,NB,20,0.99,0.6,2,0.1,0.5512,0.2173,0.9557
oh15,NB,20,0.99,0.6,3,0.1,0.5453,0.2127,0.9559
oh15,NB,20,0.99,0.7,1,0.1,0.5222,0.2332,0.9546
oh15,NB,20,0.99,0.7,2,0.1,0.5574,0.2107,0.9572
oh15,NB,20,0.99,0.7,3,0.1,0.5586,0.2068,0.9581
