Text Collection,Classifier (NB/EM),# of Positive Labeled Documents,α,λ,# of iterations (m),Weight of Unlabeled Documents in EM,F1 Score,Standard Deviation,Negative Precision
tr41,EM,5,0.99,0.7,3,0.3,0.1152,0.1153,0.9558
tr41,EM,5,0.99,0.7,3,0.5,0.1155,0.1151,0.9558
tr41,EM,5,0.99,0.7,3,0.7,0.1156,0.1150,0.9558
tr41,EM,5,0.99,0.7,3,0.9,0.1157,0.1151,0.9558
tr41,EM,5,0.99,0.8,1,0.1,0.0451,0.0975,0.9267
tr41,EM,5,0.99,0.8,1,0.3,0.1104,0.1047,0.9267
tr41,EM,5,0.99,0.8,1,0.5,0.1093,0.1055,0.9267
tr41,EM,5,0.99,0.8,1,0.7,0.1097,0.1051,0.9267
tr41,EM,5,0.99,0.8,1,0.9,0.1097,0.1044,0.9267
tr41,EM,5,0.99,0.8,2,0.1,0.1152,0.1159,0.9501
tr41,EM,5,0.99,0.8,2,0.3,0.1152,0.1155,0.9501
tr41,EM,5,0.99,0.8,2,0.5,0.1152,0.1155,0.9501
tr41,EM,5,0.99,0.8,2,0.7,0.1154,0.1156,0.9501
tr41,EM,5,0.99,0.8,2,0.9,0.1155,0.1155,0.9501
tr41,EM,5,0.99,0.8,3,0.1,0.1144,0.1155,0.9571
tr41,EM,5,0.99,0.8,3,0.3,0.1147,0.1151,0.9571
tr41,EM,5,0.99,0.8,3,0.5,0.1150,0.1149,0.9571
tr41,EM,5,0.99,0.8,3,0.7,0.1149,0.1148,0.9571
tr41,EM,5,0.99,0.8,3,0.9,0.1149,0.1148,0.9571
tr41,EM,10,0.99,0.6,1,0.1,0.1300,0.1189,0.9408
tr41,EM,10,0.99,0.6,1,0.3,0.1247,0.1158,0.9408
tr41,EM,10,0.99,0.6,1,0.5,0.1244,0.1145,0.9408
tr41,EM,10,0.99,0.6,1,0.7,0.1243,0.1137,0.9408
tr41,EM,10,0.99,0.6,1,0.9,0.1242,0.1130,0.9408
tr41,EM,10,0.99,0.6,2,0.1,0.1278,0.1195,0.9635
tr41,EM,10,0.99,0.6,2,0.3,0.1276,0.1195,0.9635
tr41,EM,10,0.99,0.6,2,0.5,0.1273,0.1192,0.9635
tr41,EM,10,0.99,0.6,2,0.7,0.1275,0.1190,0.9635
tr41,EM,10,0.99,0.6,2,0.9,0.1274,0.1190,0.9635
tr41,EM,10,0.99,0.6,3,0.1,0.1275,0.1199,0.9735
tr41,EM,10,0.99,0.6,3,0.3,0.1274,0.1195,0.9735
tr41,EM,10,0.99,0.6,3,0.5,0.1274,0.1192,0.9735
tr41,EM,10,0.99,0.6,3,0.7,0.1273,0.1191,0.9735
tr41,EM,10,0.99,0.6,3,0.9,0.1274,0.1190,0.9735
tr41,EM,10,0.99,0.7,1,0.1,0.1374,0.1199,0.9436
tr41,EM,10,0.99,0.7,1,0.3,0.1239,0.1170,0.9436
