Text Collection,# of Positive Labeled Documents,k,One Class Learning Threshold,F1 Score
CSTR,1,1,0.75,0.0015
CSTR,1,1,0.80,0.0015
CSTR,1,1,0.85,0.0015
CSTR,1,1,0.90,0.0004
CSTR,1,1,0.95,0.0004
CSTR,1,1,average+1sigma,0.0000
CSTR,1,1,average+2sigma,0.0000
CSTR,1,1,average+3sigma,0.0000
CSTR,1,1,average-1sigma,0.0000
CSTR,1,1,average-2sigma,0.0000
CSTR,1,1,average-3sigma,0.0000
CSTR,1,1,average,0.0000
CSTR,1,1,minimum,0.0000
CSTR,1,3,0.05,0.4752
CSTR,1,3,0.10,0.3266
CSTR,1,3,0.15,0.2057
CSTR,1,3,0.20,0.1465
CSTR,1,3,0.25,0.1019
CSTR,1,3,0.30,0.0681
CSTR,1,3,0.35,0.0469
CSTR,1,3,0.40,0.0309
CSTR,1,3,0.45,0.0189
CSTR,1,3,0.50,0.0143
CSTR,1,3,0.55,0.0119
CSTR,1,3,0.60,0.0025
CSTR,1,3,0.65,0.0025
CSTR,1,3,0.70,0.0025
CSTR,1,3,0.75,0.0015
CSTR,1,3,0.80,0.0015
CSTR,1,3,0.85,0.0015
CSTR,1,3,0.90,0.0004
CSTR,1,3,0.95,0.0004
CSTR,1,3,average+1sigma,0.0000
CSTR,1,3,average+2sigma,0.0000
CSTR,1,3,average+3sigma,0.0000
CSTR,1,3,average-1sigma,0.0000
CSTR,1,3,average-2sigma,0.0000
CSTR,1,3,average-3sigma,0.0000
CSTR,1,3,average,0.0000
CSTR,1,3,minimum,0.0000
CSTR,1,5,0.05,0.4752
CSTR,1,5,0.10,0.3266
CSTR,1,5,0.15,0.2057
CSTR,1,5,0.20,0.1465
CSTR,1,5,0.25,0.1019
CSTR,1,5,0.30,0.0681
CSTR,1,5,0.35,0.0469
CSTR,1,5,0.40,0.0309
CSTR,1,5,0.45,0.0189
CSTR,1,5,0.50,0.0143
CSTR,1,5,0.55,0.0119
CSTR,1,5,0.60,0.0025
CSTR,1,5,0.65,0.0025
CSTR,1,5,0.70,0.0025
CSTR,1,5,0.75,0.0015
CSTR,1,5,0.80,0.0015
CSTR,1,5,0.85,0.0015
CSTR,1,5,0.90,0.0004
CSTR,1,5,0.95,0.0004
CSTR,1,5,average+1sigma,0.0000
CSTR,1,5,average+2sigma,0.0000
CSTR,1,5,average+3sigma,0.0000
CSTR,1,5,average-1sigma,0.0000
CSTR,1,5,average-2sigma,0.0000
CSTR,1,5,average-3sigma,0.0000
CSTR,1,5,average,0.0000
CSTR,1,5,minimum,0.0000
CSTR,1,7,0.05,0.4752
CSTR,1,7,0.10,0.3266
CSTR,1,7,0.15,0.2057
CSTR,1,7,0.20,0.1465
CSTR,1,7,0.25,0.1019
CSTR,1,7,0.30,0.0681
CSTR,1,7,0.35,0.0469
CSTR,1,7,0.40,0.0309
CSTR,1,7,0.45,0.0189
CSTR,1,7,0.50,0.0143
CSTR,1,7,0.55,0.0119
CSTR,1,7,0.60,0.0025
CSTR,1,7,0.65,0.0025
CSTR,1,7,0.70,0.0025
CSTR,1,7,0.75,0.0015
CSTR,1,7,0.80,0.0015
CSTR,1,7,0.85,0.0015
CSTR,1,7,0.90,0.0004
CSTR,1,7,0.95,0.0004
CSTR,1,7,average+1sigma,0.0000
