Text Collection,Graph Constructor Algorithm,Graph Parameter k,# of Positive Labeled Documents,α,λ (|D+'| = λ x |D+|),# of iterations (m),F1 Score,Standard Deviation,Negative Precision
tr21,kNN,3,1,0.04,1,3,0.2206,0.2730,0.8667
tr21,kNN,3,1,0.04,1.2,1,0.2206,0.2730,0.8667
tr21,kNN,3,1,0.04,1.2,2,0.2206,0.2730,0.8667
tr21,kNN,3,1,0.04,1.2,3,0.2206,0.2730,0.8667
tr21,kNN,3,1,0.04,1.4,1,0.2206,0.2730,0.8667
tr21,kNN,3,1,0.04,1.4,2,0.2206,0.2730,0.8667
tr21,kNN,3,1,0.04,1.4,3,0.2206,0.2730,0.8667
tr21,kNN,3,1,0.04,2,1,0.2206,0.2730,0.8556
tr21,kNN,3,1,0.04,2,2,0.2206,0.2730,0.8556
tr21,kNN,3,1,0.04,2,3,0.2206,0.2730,0.8667
tr21,kNN,3,1,0.02,0.2,1,0.2206,0.2730,0.8667
tr21,kNN,3,1,0.02,0.2,2,0.2206,0.2730,0.8667
tr21,kNN,3,1,0.02,0.2,3,0.2206,0.2730,0.8667
tr21,kNN,3,1,0.02,0.6,1,0.2206,0.2730,0.8667
tr21,kNN,3,1,0.02,0.6,2,0.2206,0.2730,0.8667
tr21,kNN,3,1,0.02,0.6,3,0.2206,0.2730,0.8667
tr21,kNN,3,1,0.02,0.8,1,0.2206,0.2730,0.8667
tr21,kNN,3,1,0.02,0.8,2,0.2206,0.2730,0.8667
tr21,kNN,3,1,0.02,0.8,3,0.2206,0.2730,0.8667
tr21,kNN,3,1,0.02,1,1,0.2206,0.2730,0.8667
tr21,kNN,3,1,0.02,1,2,0.2206,0.2730,0.8667
tr21,kNN,3,1,0.02,1,3,0.2206,0.2730,0.8667
tr21,kNN,3,1,0.02,1.2,1,0.2206,0.2730,0.8667
tr21,kNN,3,1,0.02,1.2,2,0.2206,0.2730,0.8667
tr21,kNN,3,1,0.02,1.2,3,0.2206,0.2730,0.8667
tr21,kNN,3,1,0.02,1.4,1,0.2206,0.2730,0.8667
tr21,kNN,3,1,0.02,1.4,2,0.2206,0.2730,0.8667
tr21,kNN,3,1,0.02,1.4,3,0.2206,0.2730,0.8667
tr21,kNN,3,1,0.02,2,1,0.2206,0.2730,0.8556
tr21,kNN,3,1,0.02,2,2,0.2206,0.2730,0.8556
tr21,kNN,3,1,0.02,2,3,0.2206,0.2730,0.8667
tr21,kNN,3,5,0.1,0.2,1,0.2781,0.1244,0.8000
