Text Collection,Graph Constructor Algorithm,Graph Parameter k,# of Positive Labeled Documents,α,λ (|D+'| = λ x |D+|),# of iterations (m),F1 Score,Standard Deviation,Negative Precision
tr23,kNN,27,30,0.02,0.8,2,0.3228,0.2864,0.9710
tr23,kNN,27,30,0.02,0.8,3,0.3235,0.2852,0.9698
tr23,kNN,27,30,0.02,1,1,0.3417,0.2906,0.9667
tr23,kNN,27,30,0.02,1,2,0.3339,0.2947,0.9583
tr23,kNN,27,30,0.02,1,3,0.3312,0.2947,0.9556
tr23,kNN,27,30,0.02,1.2,1,0.3531,0.2918,0.9677
tr23,kNN,27,30,0.02,1.2,2,0.3398,0.2979,0.9601
tr23,kNN,27,30,0.02,1.2,3,0.3339,0.2966,0.9561
tr23,kNN,27,30,0.02,1.4,1,0.3644,0.2831,0.9718
tr23,kNN,27,30,0.02,1.4,2,0.3440,0.2990,0.9579
tr23,kNN,27,30,0.02,1.4,3,0.3369,0.2968,0.9527
tr23,kNN,27,30,0.02,2,1,0.3996,0.2601,0.9678
tr23,kNN,27,30,0.02,2,2,0.3535,0.2733,0.9444
tr23,kNN,27,30,0.02,2,3,0.3419,0.2739,0.9374
tr23,kNN,31,1,0.1,0.2,1,0.2333,0.2237,0.7333
tr23,kNN,31,1,0.1,0.2,2,0.2333,0.2237,0.7333
tr23,kNN,31,1,0.1,0.2,3,0.2333,0.2237,0.7333
tr23,kNN,31,1,0.1,0.6,1,0.2333,0.2237,0.7333
tr23,kNN,31,1,0.1,0.6,2,0.2333,0.2237,0.7333
tr23,kNN,31,1,0.1,0.6,3,0.2333,0.2237,0.7333
tr23,kNN,31,1,0.1,0.8,1,0.2333,0.2237,0.7333
tr23,kNN,31,1,0.1,0.8,2,0.2333,0.2237,0.7333
tr23,kNN,31,1,0.1,0.8,3,0.2333,0.2237,0.7333
tr23,kNN,31,1,0.1,1,1,0.3531,0.2631,0.9083
tr23,kNN,31,1,0.1,1,2,0.2333,0.2237,0.7333
tr23,kNN,31,1,0.1,1,3,0.2333,0.2237,0.7333
tr23,kNN,31,1,0.1,1.2,1,0.3531,0.2631,0.9083
tr23,kNN,31,1,0.1,1.2,2,0.2333,0.2237,0.7333
tr23,kNN,31,1,0.1,1.2,3,0.2333,0.2237,0.7333
tr23,kNN,31,1,0.1,1.4,1,0.3531,0.2631,0.9083
tr23,kNN,31,1,0.1,1.4,2,0.2333,0.2237,0.7333
tr23,kNN,31,1,0.1,1.4,3,0.2333,0.2237,0.7333
tr23,kNN,31,1,0.1,2,1,0.4374,0.2563,0.9167
tr23,kNN,31,1,0.1,2,2,0.3863,0.2673,0.9222
tr23,kNN,31,1,0.1,2,3,0.2333,0.2237,0.7333
tr23,kNN,31,1,0.08,0.2,1,0.1712,0.2008,0.7833
tr23,kNN,31,1,0.08,0.2,2,0.1712,0.2008,0.7833
tr23,kNN,31,1,0.08,0.2,3,0.1712,0.2008,0.7833
tr23,kNN,31,1,0.08,0.6,1,0.1712,0.2008,0.7833
tr23,kNN,31,1,0.08,0.6,2,0.1712,0.2008,0.7833
tr23,kNN,31,1,0.08,0.6,3,0.1712,0.2008,0.7833
tr23,kNN,31,1,0.08,0.8,1,0.1712,0.2008,0.7833
tr23,kNN,31,1,0.08,0.8,2,0.1712,0.2008,0.7833
tr23,kNN,31,1,0.08,0.8,3,0.1712,0.2008,0.7833
tr23,kNN,31,1,0.08,1,1,0.1843,0.1868,0.9083
tr23,kNN,31,1,0.08,1,2,0.1712,0.2008,0.7833
tr23,kNN,31,1,0.08,1,3,0.1712,0.2008,0.7833
tr23,kNN,31,1,0.08,1.2,1,0.1843,0.1868,0.9083
tr23,kNN,31,1,0.08,1.2,2,0.1712,0.2008,0.7833
tr23,kNN,31,1,0.08,1.2,3,0.1712,0.2008,0.7833
tr23,kNN,31,1,0.08,1.4,1,0.1843,0.1868,0.9083
tr23,kNN,31,1,0.08,1.4,2,0.1712,0.2008,0.7833
tr23,kNN,31,1,0.08,1.4,3,0.1712,0.2008,0.7833
tr23,kNN,31,1,0.08,2,1,0.1984,0.1919,0.8778
tr23,kNN,31,1,0.08,2,2,0.2155,0.1952,0.8889
tr23,kNN,31,1,0.08,2,3,0.1712,0.2008,0.7833
tr23,kNN,31,1,0.06,0.2,1,0.4025,0.3241,0.8500
tr23,kNN,31,1,0.06,0.2,2,0.4025,0.3241,0.8500
tr23,kNN,31,1,0.06,0.2,3,0.4025,0.3241,0.8500
tr23,kNN,31,1,0.06,0.6,1,0.4025,0.3241,0.8500
tr23,kNN,31,1,0.06,0.6,2,0.4025,0.3241,0.8500
tr23,kNN,31,1,0.06,0.6,3,0.4025,0.3241,0.8500
tr23,kNN,31,1,0.06,0.8,1,0.4025,0.3241,0.8500
tr23,kNN,31,1,0.06,0.8,2,0.4025,0.3241,0.8500
tr23,kNN,31,1,0.06,0.8,3,0.4025,0.3241,0.8500
tr23,kNN,31,1,0.06,1,1,0.3309,0.2044,0.9333
tr23,kNN,31,1,0.06,1,2,0.4025,0.3241,0.8500
tr23,kNN,31,1,0.06,1,3,0.4025,0.3241,0.8500
tr23,kNN,31,1,0.06,1.2,1,0.3309,0.2044,0.9333
tr23,kNN,31,1,0.06,1.2,2,0.4025,0.3241,0.8500
tr23,kNN,31,1,0.06,1.2,3,0.4025,0.3241,0.8500
tr23,kNN,31,1,0.06,1.4,1,0.3309,0.2044,0.9333
tr23,kNN,31,1,0.06,1.4,2,0.4025,0.3241,0.8500
tr23,kNN,31,1,0.06,1.4,3,0.4025,0.3241,0.8500
tr23,kNN,31,1,0.06,2,1,0.2683,0.2036,0.9167
tr23,kNN,31,1,0.06,2,2,0.2956,0.2172,0.8556
tr23,kNN,31,1,0.06,2,3,0.4025,0.3241,0.8500
tr23,kNN,31,1,0.04,0.2,1,0.1708,0.2604,0.7667
tr23,kNN,31,1,0.04,0.2,2,0.1708,0.2604,0.7667
tr23,kNN,31,1,0.04,0.2,3,0.1708,0.2604,0.7667
tr23,kNN,31,1,0.04,0.6,1,0.1708,0.2604,0.7667
tr23,kNN,31,1,0.04,0.6,2,0.1708,0.2604,0.7667
tr23,kNN,31,1,0.04,0.6,3,0.1708,0.2604,0.7667
tr23,kNN,31,1,0.04,0.8,1,0.1708,0.2604,0.7667
tr23,kNN,31,1,0.04,0.8,2,0.1708,0.2604,0.7667
tr23,kNN,31,1,0.04,0.8,3,0.1708,0.2604,0.7667
tr23,kNN,31,1,0.04,1,1,0.2403,0.1909,0.8083
tr23,kNN,31,1,0.04,1,2,0.1708,0.2604,0.7667
tr23,kNN,31,1,0.04,1,3,0.1708,0.2604,0.7667
tr23,kNN,31,1,0.04,1.2,1,0.2403,0.1909,0.8083
tr23,kNN,31,1,0.04,1.2,2,0.1708,0.2604,0.7667
tr23,kNN,31,1,0.04,1.2,3,0.1708,0.2604,0.7667
tr23,kNN,31,1,0.04,1.4,1,0.2403,0.1909,0.8083
tr23,kNN,31,1,0.04,1.4,2,0.1708,0.2604,0.7667
tr23,kNN,31,1,0.04,1.4,3,0.1708,0.2604,0.7667
tr23,kNN,31,1,0.04,2,1,0.2725,0.2139,0.8444
tr23,kNN,31,1,0.04,2,2,0.2665,0.2070,0.8389
tr23,kNN,31,1,0.04,2,3,0.1708,0.2604,0.7667
tr23,kNN,31,1,0.02,0.2,1,0.1741,0.2252,1.0000
tr23,kNN,31,1,0.02,0.2,2,0.1741,0.2252,1.0000
tr23,kNN,31,1,0.02,0.2,3,0.1741,0.2252,1.0000
tr23,kNN,31,1,0.02,0.6,1,0.1741,0.2252,1.0000
tr23,kNN,31,1,0.02,0.6,2,0.1741,0.2252,1.0000
tr23,kNN,31,1,0.02,0.6,3,0.1741,0.2252,1.0000
tr23,kNN,31,1,0.02,0.8,1,0.1741,0.2252,1.0000
tr23,kNN,31,1,0.02,0.8,2,0.1741,0.2252,1.0000
tr23,kNN,31,1,0.02,0.8,3,0.1741,0.2252,1.0000
tr23,kNN,31,1,0.02,1,1,0.2578,0.2061,1.0000
tr23,kNN,31,1,0.02,1,2,0.1741,0.2252,1.0000
tr23,kNN,31,1,0.02,1,3,0.1741,0.2252,1.0000
tr23,kNN,31,1,0.02,1.2,1,0.2578,0.2061,1.0000
tr23,kNN,31,1,0.02,1.2,2,0.1741,0.2252,1.0000
tr23,kNN,31,1,0.02,1.2,3,0.1741,0.2252,1.0000
tr23,kNN,31,1,0.02,1.4,1,0.2578,0.2061,1.0000
tr23,kNN,31,1,0.02,1.4,2,0.1741,0.2252,1.0000
tr23,kNN,31,1,0.02,1.4,3,0.1741,0.2252,1.0000
tr23,kNN,31,1,0.02,2,1,0.2664,0.2108,0.9944
tr23,kNN,31,1,0.02,2,2,0.2660,0.2110,1.0000
tr23,kNN,31,1,0.02,2,3,0.1741,0.2252,1.0000
tr23,kNN,31,5,0.1,0.2,1,0.3830,0.2129,0.7861
tr23,kNN,31,5,0.1,0.2,2,0.4057,0.3089,0.6767
tr23,kNN,31,5,0.1,0.2,3,0.4057,0.3089,0.6767
tr23,kNN,31,5,0.1,0.6,1,0.3500,0.2325,0.9063
tr23,kNN,31,5,0.1,0.6,2,0.3267,0.2407,0.8786
tr23,kNN,31,5,0.1,0.6,3,0.4057,0.3089,0.6767
tr23,kNN,31,5,0.1,0.8,1,0.3230,0.2344,0.9093
tr23,kNN,31,5,0.1,0.8,2,0.3109,0.2071,0.9241
tr23,kNN,31,5,0.1,0.8,3,0.3132,0.2237,0.8875
tr23,kNN,31,5,0.1,1,1,0.3174,0.2346,0.9233
tr23,kNN,31,5,0.1,1,2,0.3109,0.2071,0.9241
tr23,kNN,31,5,0.1,1,3,0.3132,0.2237,0.8875
tr23,kNN,31,5,0.1,1.2,1,0.3090,0.2158,0.9273
tr23,kNN,31,5,0.1,1.2,2,0.2972,0.2097,0.9136
tr23,kNN,31,5,0.1,1.2,3,0.3132,0.2237,0.8875
tr23,kNN,31,5,0.1,1.4,1,0.3066,0.2060,0.9181
tr23,kNN,31,5,0.1,1.4,2,0.2972,0.2097,0.9136
tr23,kNN,31,5,0.1,1.4,3,0.3063,0.2183,0.9212
tr23,kNN,31,5,0.1,2,1,0.3040,0.2124,0.9178
tr23,kNN,31,5,0.1,2,2,0.2784,0.2108,0.9156
tr23,kNN,31,5,0.1,2,3,0.2877,0.2094,0.9214
tr23,kNN,31,5,0.08,0.2,1,0.3657,0.2185,0.8778
tr23,kNN,31,5,0.08,0.2,2,0.4205,0.3148,0.7333
tr23,kNN,31,5,0.08,0.2,3,0.4205,0.3148,0.7333
tr23,kNN,31,5,0.08,0.6,1,0.3386,0.1609,0.8938
tr23,kNN,31,5,0.08,0.6,2,0.3552,0.1837,0.8929
tr23,kNN,31,5,0.08,0.6,3,0.4205,0.3148,0.7333
tr23,kNN,31,5,0.08,0.8,1,0.3029,0.1507,0.8926
tr23,kNN,31,5,0.08,0.8,2,0.3123,0.1715,0.9000
tr23,kNN,31,5,0.08,0.8,3,0.3163,0.1616,0.8958
tr23,kNN,31,5,0.08,1,1,0.2875,0.1614,0.8883
tr23,kNN,31,5,0.08,1,2,0.3123,0.1715,0.9000
tr23,kNN,31,5,0.08,1,3,0.3163,0.1616,0.8958
tr23,kNN,31,5,0.08,1.2,1,0.2701,0.1743,0.8894
tr23,kNN,31,5,0.08,1.2,2,0.2733,0.1729,0.8909
tr23,kNN,31,5,0.08,1.2,3,0.3163,0.1616,0.8958
tr23,kNN,31,5,0.08,1.4,1,0.2647,0.1760,0.8889
tr23,kNN,31,5,0.08,1.4,2,0.2733,0.1729,0.8909
tr23,kNN,31,5,0.08,1.4,3,0.2692,0.1755,0.8894
tr23,kNN,31,5,0.08,2,1,0.2534,0.1793,0.8822
tr23,kNN,31,5,0.08,2,2,0.2656,0.1836,0.8878
tr23,kNN,31,5,0.08,2,3,0.2578,0.1786,0.8881
tr23,kNN,31,5,0.06,0.2,1,0.3197,0.2261,0.9111
tr23,kNN,31,5,0.06,0.2,2,0.4761,0.3200,0.9200
tr23,kNN,31,5,0.06,0.2,3,0.4761,0.3200,0.9200
tr23,kNN,31,5,0.06,0.6,1,0.2661,0.1915,0.9000
tr23,kNN,31,5,0.06,0.6,2,0.2896,0.2210,0.9476
tr23,kNN,31,5,0.06,0.6,3,0.4761,0.3200,0.9200
tr23,kNN,31,5,0.06,0.8,1,0.2542,0.1956,0.8889
tr23,kNN,31,5,0.06,0.8,2,0.2682,0.2159,0.9185
tr23,kNN,31,5,0.06,0.8,3,0.2614,0.2114,0.9229
tr23,kNN,31,5,0.06,1,1,0.2489,0.2030,0.8883
tr23,kNN,31,5,0.06,1,2,0.2682,0.2159,0.9185
tr23,kNN,31,5,0.06,1,3,0.2614,0.2114,0.9229
tr23,kNN,31,5,0.06,1.2,1,0.2502,0.2032,0.8894
tr23,kNN,31,5,0.06,1.2,2,0.2783,0.2328,0.9333
tr23,kNN,31,5,0.06,1.2,3,0.2614,0.2114,0.9229
tr23,kNN,31,5,0.06,1.4,1,0.2526,0.2051,0.8903
tr23,kNN,31,5,0.06,1.4,2,0.2783,0.2328,0.9333
tr23,kNN,31,5,0.06,1.4,3,0.2688,0.2082,0.9242
tr23,kNN,31,5,0.06,2,1,0.2546,0.2004,0.8889
tr23,kNN,31,5,0.06,2,2,0.2863,0.2308,0.9433
tr23,kNN,31,5,0.06,2,3,0.2646,0.2052,0.9274
tr23,kNN,31,5,0.04,0.2,1,0.2040,0.2010,0.7972
tr23,kNN,31,5,0.04,0.2,2,0.3753,0.3286,0.7400
tr23,kNN,31,5,0.04,0.2,3,0.3753,0.3286,0.7400
tr23,kNN,31,5,0.04,0.6,1,0.2324,0.2132,0.8750
tr23,kNN,31,5,0.04,0.6,2,0.2221,0.2184,0.8405
tr23,kNN,31,5,0.04,0.6,3,0.3753,0.3286,0.7400
tr23,kNN,31,5,0.04,0.8,1,0.2260,0.2101,0.9185
tr23,kNN,31,5,0.04,0.8,2,0.2229,0.2134,0.8481
tr23,kNN,31,5,0.04,0.8,3,0.2311,0.2123,0.8313
tr23,kNN,31,5,0.04,1,1,0.2254,0.2092,0.9233
tr23,kNN,31,5,0.04,1,2,0.2229,0.2134,0.8481
tr23,kNN,31,5,0.04,1,3,0.2311,0.2123,0.8313
tr23,kNN,31,5,0.04,1.2,1,0.2274,0.2087,0.9197
tr23,kNN,31,5,0.04,1.2,2,0.2224,0.2137,0.8333
tr23,kNN,31,5,0.04,1.2,3,0.2311,0.2123,0.8313
tr23,kNN,31,5,0.04,1.4,1,0.2298,0.2111,0.9097
tr23,kNN,31,5,0.04,1.4,2,0.2224,0.2137,0.8333
tr23,kNN,31,5,0.04,1.4,3,0.2299,0.2153,0.8591
tr23,kNN,31,5,0.04,2,1,0.2492,0.2279,0.8767
tr23,kNN,31,5,0.04,2,2,0.2279,0.2148,0.8133
tr23,kNN,31,5,0.04,2,3,0.2351,0.2154,0.8714
tr23,kNN,31,5,0.02,0.2,1,0.2389,0.2204,0.9944
tr23,kNN,31,5,0.02,0.2,2,0.2445,0.2189,1.0000
tr23,kNN,31,5,0.02,0.2,3,0.2445,0.2189,1.0000
tr23,kNN,31,5,0.02,0.6,1,0.2332,0.2176,0.9833
tr23,kNN,31,5,0.02,0.6,2,0.2348,0.2179,0.9881
tr23,kNN,31,5,0.02,0.6,3,0.2445,0.2189,1.0000
tr23,kNN,31,5,0.02,0.8,1,0.2321,0.2175,0.9778
tr23,kNN,31,5,0.02,0.8,2,0.2313,0.2173,0.9759
tr23,kNN,31,5,0.02,0.8,3,0.2326,0.2175,0.9750
tr23,kNN,31,5,0.02,1,1,0.2316,0.2176,0.9800
tr23,kNN,31,5,0.02,1,2,0.2313,0.2173,0.9759
tr23,kNN,31,5,0.02,1,3,0.2326,0.2175,0.9750
tr23,kNN,31,5,0.02,1.2,1,0.2296,0.2164,0.9773
tr23,kNN,31,5,0.02,1.2,2,0.2275,0.2147,0.9606
tr23,kNN,31,5,0.02,1.2,3,0.2326,0.2175,0.9750
tr23,kNN,31,5,0.02,1.4,1,0.2307,0.2169,0.9722
tr23,kNN,31,5,0.02,1.4,2,0.2275,0.2147,0.9606
tr23,kNN,31,5,0.02,1.4,3,0.2266,0.2148,0.9606
tr23,kNN,31,5,0.02,2,1,0.2248,0.2138,0.9678
tr23,kNN,31,5,0.02,2,2,0.2240,0.2133,0.9622
tr23,kNN,31,5,0.02,2,3,0.2232,0.2128,0.9524
tr23,kNN,31,10,0.1,0.2,1,0.3241,0.2453,0.7783
tr23,kNN,31,10,0.1,0.2,2,0.3187,0.2363,0.7883
tr23,kNN,31,10,0.1,0.2,3,0.2585,0.2226,0.6040
tr23,kNN,31,10,0.1,0.6,1,0.3438,0.2580,0.8763
tr23,kNN,31,10,0.1,0.6,2,0.3121,0.2472,0.8875
tr23,kNN,31,10,0.1,0.6,3,0.3286,0.2477,0.8400
tr23,kNN,31,10,0.1,0.8,1,0.3317,0.2516,0.8911
tr23,kNN,31,10,0.1,0.8,2,0.3059,0.2415,0.8856
tr23,kNN,31,10,0.1,0.8,3,0.3216,0.2518,0.8900
tr23,kNN,31,10,0.1,1,1,0.3264,0.2532,0.8910
tr23,kNN,31,10,0.1,1,2,0.3059,0.2428,0.8860
tr23,kNN,31,10,0.1,1,3,0.3084,0.2437,0.8842
tr23,kNN,31,10,0.1,1.2,1,0.3163,0.2463,0.8891
tr23,kNN,31,10,0.1,1.2,2,0.2999,0.2383,0.8782
tr23,kNN,31,10,0.1,1.2,3,0.3084,0.2437,0.8842
tr23,kNN,31,10,0.1,1.4,1,0.3204,0.2517,0.9000
tr23,kNN,31,10,0.1,1.4,2,0.2952,0.2328,0.8783
tr23,kNN,31,10,0.1,1.4,3,0.2949,0.2389,0.8773
tr23,kNN,31,10,0.1,2,1,0.3046,0.2360,0.8960
tr23,kNN,31,10,0.1,2,2,0.3020,0.2349,0.8753
tr23,kNN,31,10,0.1,2,3,0.3032,0.2398,0.8700
tr23,kNN,31,10,0.08,0.2,1,0.2847,0.2189,0.8367
tr23,kNN,31,10,0.08,0.2,2,0.2987,0.2137,0.8450
tr23,kNN,31,10,0.08,0.2,3,0.2925,0.2209,0.7380
tr23,kNN,31,10,0.08,0.6,1,0.2803,0.2177,0.8863
tr23,kNN,31,10,0.08,0.6,2,0.2769,0.2054,0.8988
tr23,kNN,31,10,0.08,0.6,3,0.2836,0.2133,0.8831
tr23,kNN,31,10,0.08,0.8,1,0.2864,0.2119,0.8944
tr23,kNN,31,10,0.08,0.8,2,0.2781,0.2003,0.8978
tr23,kNN,31,10,0.08,0.8,3,0.2747,0.2017,0.9000
tr23,kNN,31,10,0.08,1,1,0.2836,0.2085,0.8970
tr23,kNN,31,10,0.08,1,2,0.2806,0.1969,0.8930
tr23,kNN,31,10,0.08,1,3,0.2820,0.1967,0.9021
tr23,kNN,31,10,0.08,1.2,1,0.2956,0.1931,0.8964
tr23,kNN,31,10,0.08,1.2,2,0.2942,0.1900,0.8927
tr23,kNN,31,10,0.08,1.2,3,0.2820,0.1967,0.9021
tr23,kNN,31,10,0.08,1.4,1,0.2924,0.1913,0.8942
tr23,kNN,31,10,0.08,1.4,2,0.2876,0.1866,0.8917
tr23,kNN,31,10,0.08,1.4,3,0.2919,0.1866,0.8991
tr23,kNN,31,10,0.08,2,1,0.2663,0.1971,0.8873
tr23,kNN,31,10,0.08,2,2,0.2870,0.1910,0.8893
tr23,kNN,31,10,0.08,2,3,0.2900,0.1881,0.8864
tr23,kNN,31,10,0.06,0.2,1,0.3171,0.2685,0.9017
tr23,kNN,31,10,0.06,0.2,2,0.3169,0.2674,0.9100
tr23,kNN,31,10,0.06,0.2,3,0.3080,0.2468,0.8440
tr23,kNN,31,10,0.06,0.6,1,0.2907,0.2300,0.9213
tr23,kNN,31,10,0.06,0.6,2,0.2785,0.2184,0.9150
tr23,kNN,31,10,0.06,0.6,3,0.3083,0.2544,0.8985
tr23,kNN,31,10,0.06,0.8,1,0.2855,0.2295,0.9244
tr23,kNN,31,10,0.06,0.8,2,0.3081,0.2429,0.9278
tr23,kNN,31,10,0.06,0.8,3,0.2982,0.2290,0.9038
tr23,kNN,31,10,0.06,1,1,0.2863,0.2308,0.9250
tr23,kNN,31,10,0.06,1,2,0.3081,0.2424,0.9320
tr23,kNN,31,10,0.06,1,3,0.3061,0.2355,0.9168
tr23,kNN,31,10,0.06,1.2,1,0.2950,0.2370,0.9236
tr23,kNN,31,10,0.06,1.2,2,0.3088,0.2423,0.9336
tr23,kNN,31,10,0.06,1.2,3,0.3061,0.2355,0.9168
tr23,kNN,31,10,0.06,1.4,1,0.3010,0.2392,0.9258
tr23,kNN,31,10,0.06,1.4,2,0.3062,0.2389,0.9308
tr23,kNN,31,10,0.06,1.4,3,0.2987,0.2304,0.9373
tr23,kNN,31,10,0.06,2,1,0.2930,0.2289,0.9300
tr23,kNN,31,10,0.06,2,2,0.3066,0.2381,0.9340
tr23,kNN,31,10,0.06,2,3,0.3041,0.2297,0.9264
tr23,kNN,31,10,0.04,0.2,1,0.2217,0.2205,0.7450
tr23,kNN,31,10,0.04,0.2,2,0.2185,0.2191,0.7283
tr23,kNN,31,10,0.04,0.2,3,0.2214,0.2229,0.7120
tr23,kNN,31,10,0.04,0.6,1,0.2405,0.2192,0.8950
tr23,kNN,31,10,0.04,0.6,2,0.2313,0.2218,0.8213
tr23,kNN,31,10,0.04,0.6,3,0.2267,0.2176,0.7923
tr23,kNN,31,10,0.04,0.8,1,0.2518,0.2283,0.8800
tr23,kNN,31,10,0.04,0.8,2,0.2500,0.2286,0.7956
tr23,kNN,31,10,0.04,0.8,3,0.2372,0.2269,0.8150
tr23,kNN,31,10,0.04,1,1,0.2699,0.2403,0.8880
tr23,kNN,31,10,0.04,1,2,0.2573,0.2347,0.8050
tr23,kNN,31,10,0.04,1,3,0.2422,0.2272,0.8305
tr23,kNN,31,10,0.04,1.2,1,0.3199,0.2691,0.8864
tr23,kNN,31,10,0.04,1.2,2,0.2664,0.2321,0.8155
tr23,kNN,31,10,0.04,1.2,3,0.2422,0.2272,0.8305
tr23,kNN,31,10,0.04,1.4,1,0.3462,0.2780,0.8750
tr23,kNN,31,10,0.04,1.4,2,0.2829,0.2337,0.8150
tr23,kNN,31,10,0.04,1.4,3,0.2464,0.2259,0.8582
tr23,kNN,31,10,0.04,2,1,0.3571,0.2705,0.8967
tr23,kNN,31,10,0.04,2,2,0.2931,0.2269,0.8080
tr23,kNN,31,10,0.04,2,3,0.3097,0.2715,0.8693
tr23,kNN,31,10,0.02,0.2,1,0.2572,0.2284,0.9800
tr23,kNN,31,10,0.02,0.2,2,0.2572,0.2284,0.9800
tr23,kNN,31,10,0.02,0.2,3,0.2617,0.2293,0.9860
tr23,kNN,31,10,0.02,0.6,1,0.2501,0.2278,0.9763
tr23,kNN,31,10,0.02,0.6,2,0.2498,0.2268,0.9788
tr23,kNN,31,10,0.02,0.6,3,0.2527,0.2279,0.9785
tr23,kNN,31,10,0.02,0.8,1,0.2487,0.2272,0.9633
tr23,kNN,31,10,0.02,0.8,2,0.2431,0.2249,0.9589
tr23,kNN,31,10,0.02,0.8,3,0.2458,0.2248,0.9763
tr23,kNN,31,10,0.02,1,1,0.2455,0.2261,0.9560
tr23,kNN,31,10,0.02,1,2,0.2427,0.2246,0.9440
tr23,kNN,31,10,0.02,1,3,0.2433,0.2246,0.9547
tr23,kNN,31,10,0.02,1.2,1,0.2431,0.2254,0.9409
tr23,kNN,31,10,0.02,1.2,2,0.2439,0.2248,0.9200
tr23,kNN,31,10,0.02,1.2,3,0.2433,0.2246,0.9547
tr23,kNN,31,10,0.02,1.4,1,0.2427,0.2248,0.9317
tr23,kNN,31,10,0.02,1.4,2,0.2429,0.2246,0.9067
tr23,kNN,31,10,0.02,1.4,3,0.2424,0.2245,0.9127
tr23,kNN,31,10,0.02,2,1,0.2475,0.2276,0.9073
tr23,kNN,31,10,0.02,2,2,0.2460,0.2270,0.8953
tr23,kNN,31,10,0.02,2,3,0.2461,0.2253,0.8907
tr23,kNN,31,20,0.1,0.2,1,0.4195,0.1751,0.6458
tr23,kNN,31,20,0.1,0.2,2,0.4413,0.1875,0.6764
tr23,kNN,31,20,0.1,0.2,3,0.4432,0.1752,0.6652
tr23,kNN,31,20,0.1,0.6,1,0.4662,0.1445,0.8125
tr23,kNN,31,20,0.1,0.6,2,0.4256,0.1692,0.7729
tr23,kNN,31,20,0.1,0.6,3,0.4677,0.1617,0.7736
tr23,kNN,31,20,0.1,0.8,1,0.4474,0.1681,0.8167
tr23,kNN,31,20,0.1,0.8,2,0.4220,0.1894,0.7935
tr23,kNN,31,20,0.1,0.8,3,0.4372,0.1715,0.7981
tr23,kNN,31,20,0.1,1,1,0.4272,0.1623,0.8175
tr23,kNN,31,20,0.1,1,2,0.4034,0.1900,0.7967
tr23,kNN,31,20,0.1,1,3,0.4196,0.1859,0.8000
tr23,kNN,31,20,0.1,1.2,1,0.3998,0.1479,0.8061
tr23,kNN,31,20,0.1,1.2,2,0.3836,0.1917,0.7992
tr23,kNN,31,20,0.1,1.2,3,0.4079,0.1933,0.8016
tr23,kNN,31,20,0.1,1.4,1,0.3824,0.1429,0.8125
tr23,kNN,31,20,0.1,1.4,2,0.3656,0.1920,0.7910
tr23,kNN,31,20,0.1,1.4,3,0.3896,0.1760,0.8014
tr23,kNN,31,20,0.1,2,1,0.3005,0.1460,0.8039
tr23,kNN,31,20,0.1,2,2,0.3251,0.1526,0.7894
tr23,kNN,31,20,0.1,2,3,0.3226,0.1570,0.7870
tr23,kNN,31,20,0.08,0.2,1,0.4145,0.1087,0.8458
tr23,kNN,31,20,0.08,0.2,2,0.4084,0.1087,0.8583
tr23,kNN,31,20,0.08,0.2,3,0.4204,0.1086,0.8522
tr23,kNN,31,20,0.08,0.6,1,0.4084,0.1472,0.8646
tr23,kNN,31,20,0.08,0.6,2,0.4058,0.1232,0.8729
tr23,kNN,31,20,0.08,0.6,3,0.4037,0.1104,0.8724
tr23,kNN,31,20,0.08,0.8,1,0.4080,0.1607,0.8639
tr23,kNN,31,20,0.08,0.8,2,0.4058,0.1563,0.8611
tr23,kNN,31,20,0.08,0.8,3,0.4048,0.1366,0.8657
tr23,kNN,31,20,0.08,1,1,0.4353,0.2002,0.8650
tr23,kNN,31,20,0.08,1,2,0.4525,0.2200,0.8650
tr23,kNN,31,20,0.08,1,3,0.4406,0.1924,0.8693
tr23,kNN,31,20,0.08,1.2,1,0.4421,0.2176,0.8705
tr23,kNN,31,20,0.08,1.2,2,0.4544,0.2313,0.8742
tr23,kNN,31,20,0.08,1.2,3,0.4578,0.2254,0.8732
tr23,kNN,31,20,0.08,1.4,1,0.4270,0.2163,0.8611
tr23,kNN,31,20,0.08,1.4,2,0.4431,0.2234,0.8681
tr23,kNN,31,20,0.08,1.4,3,0.4415,0.2263,0.8716
tr23,kNN,31,20,0.08,2,1,0.4046,0.2006,0.8539
tr23,kNN,31,20,0.08,2,2,0.4217,0.2096,0.8533
tr23,kNN,31,20,0.08,2,3,0.4250,0.2084,0.8542
tr23,kNN,31,20,0.06,0.2,1,0.4629,0.1823,0.8764
tr23,kNN,31,20,0.06,0.2,2,0.4517,0.1590,0.8722
tr23,kNN,31,20,0.06,0.2,3,0.4637,0.1715,0.8667
tr23,kNN,31,20,0.06,0.6,1,0.4364,0.1632,0.8927
tr23,kNN,31,20,0.06,0.6,2,0.4143,0.1487,0.8969
tr23,kNN,31,20,0.06,0.6,3,0.4164,0.1559,0.8943
tr23,kNN,31,20,0.06,0.8,1,0.4391,0.1431,0.8944
tr23,kNN,31,20,0.06,0.8,2,0.4283,0.1465,0.8880
tr23,kNN,31,20,0.06,0.8,3,0.4245,0.1498,0.8905
tr23,kNN,31,20,0.06,1,1,0.4298,0.1311,0.8917
