Text Collection,Graph Constructor Algorithm,Graph Parameter (k or ε),# of Positive Labeled Documents (D+),Label Propagation Algorithm,"Extracted Negatives Docs (num_neg = {1,2,5,10} x |D+|)",LLGC parameter (α),F1 Score,Standard Deviation,Negative Precision
CSTR,MkNN,3,20,LLGC,x2,0.1,0.1599,0.1716,0.4981
CSTR,MkNN,3,20,LLGC,x2,0.3,0.1577,0.1728,0.4981
CSTR,MkNN,3,20,LLGC,x2,0.5,0.1562,0.1703,0.4981
CSTR,MkNN,3,20,LLGC,x2,0.7,0.2355,0.1664,0.4981
CSTR,MkNN,3,20,LLGC,x2,0.9,0.3418,0.2333,0.4981
CSTR,MkNN,3,20,LLGC,x5,0.1,0.0000,0.0000,0.6803
CSTR,MkNN,3,20,LLGC,x5,0.3,0.0000,0.0000,0.6803
CSTR,MkNN,3,20,LLGC,x5,0.5,0.0000,0.0000,0.6803
CSTR,MkNN,3,20,LLGC,x5,0.7,0.0841,0.1561,0.6803
CSTR,MkNN,3,20,LLGC,x5,0.9,0.1963,0.2909,0.6803
CSTR,MkNN,3,20,LLGC,x10,0.1,0.0000,0.0000,0.7686
CSTR,MkNN,3,20,LLGC,x10,0.3,0.0000,0.0000,0.7686
CSTR,MkNN,3,20,LLGC,x10,0.5,0.0000,0.0000,0.7686
CSTR,MkNN,3,20,LLGC,x10,0.7,0.0841,0.1561,0.7686
CSTR,MkNN,3,20,LLGC,x10,0.9,0.1963,0.2909,0.7686
CSTR,MkNN,3,30,LLGC,x1,0.1,0.3570,0.1814,0.4822
CSTR,MkNN,3,30,LLGC,x1,0.3,0.3495,0.1936,0.4822
CSTR,MkNN,3,30,LLGC,x1,0.5,0.3505,0.1931,0.4822
CSTR,MkNN,3,30,LLGC,x1,0.7,0.4094,0.1444,0.4822
CSTR,MkNN,3,30,LLGC,x1,0.9,0.4805,0.1405,0.4822
CSTR,MkNN,3,30,LLGC,x2,0.1,0.1727,0.1817,0.5483
CSTR,MkNN,3,30,LLGC,x2,0.3,0.1708,0.1816,0.5483
CSTR,MkNN,3,30,LLGC,x2,0.5,0.1683,0.1789,0.5483
CSTR,MkNN,3,30,LLGC,x2,0.7,0.2390,0.1445,0.5483
CSTR,MkNN,3,30,LLGC,x2,0.9,0.3086,0.1751,0.5483
CSTR,MkNN,3,30,LLGC,x5,0.1,0.0000,0.0000,0.6851
CSTR,MkNN,3,30,LLGC,x5,0.3,0.0000,0.0000,0.6851
CSTR,MkNN,3,30,LLGC,x5,0.5,0.0000,0.0000,0.6851
CSTR,MkNN,3,30,LLGC,x5,0.7,0.0790,0.1089,0.6851
CSTR,MkNN,3,30,LLGC,x5,0.9,0.1657,0.2144,0.6851
CSTR,MkNN,3,30,LLGC,x10,0.1,0.0000,0.0000,0.7720
CSTR,MkNN,3,30,LLGC,x10,0.3,0.0000,0.0000,0.7720
CSTR,MkNN,3,30,LLGC,x10,0.5,0.0000,0.0000,0.7720
CSTR,MkNN,3,30,LLGC,x10,0.7,0.0790,0.1089,0.7720
CSTR,MkNN,3,30,LLGC,x10,0.9,0.1657,0.2144,0.7720
CSTR,MkNN,7,1,LLGC,x1,0.1,0.3858,0.1826,0.7750
CSTR,MkNN,7,1,LLGC,x1,0.3,0.3872,0.1844,0.7750
CSTR,MkNN,7,1,LLGC,x1,0.5,0.3875,0.1843,0.7750
CSTR,MkNN,7,1,LLGC,x1,0.7,0.3871,0.1851,0.7750
CSTR,MkNN,7,1,LLGC,x1,0.9,0.3861,0.1867,0.7750
CSTR,MkNN,7,1,LLGC,x2,0.1,0.3966,0.1872,0.7875
CSTR,MkNN,7,1,LLGC,x2,0.3,0.3994,0.1901,0.7875
CSTR,MkNN,7,1,LLGC,x2,0.5,0.4007,0.1924,0.7875
CSTR,MkNN,7,1,LLGC,x2,0.7,0.4025,0.1916,0.7875
CSTR,MkNN,7,1,LLGC,x2,0.9,0.4100,0.1929,0.7875
CSTR,MkNN,7,1,LLGC,x5,0.1,0.5007,0.2047,0.8350
CSTR,MkNN,7,1,LLGC,x5,0.3,0.5071,0.2071,0.8350
CSTR,MkNN,7,1,LLGC,x5,0.5,0.5132,0.2070,0.8350
CSTR,MkNN,7,1,LLGC,x5,0.7,0.5199,0.2031,0.8350
CSTR,MkNN,7,1,LLGC,x5,0.9,0.5408,0.1943,0.8350
CSTR,MkNN,7,1,LLGC,x10,0.1,0.5171,0.1976,0.8525
CSTR,MkNN,7,1,LLGC,x10,0.3,0.5205,0.1957,0.8525
CSTR,MkNN,7,1,LLGC,x10,0.5,0.5292,0.1966,0.8525
CSTR,MkNN,7,1,LLGC,x10,0.7,0.5374,0.1924,0.8525
CSTR,MkNN,7,1,LLGC,x10,0.9,0.5201,0.1667,0.8525
CSTR,MkNN,7,5,LLGC,x1,0.1,0.4251,0.1685,0.8500
CSTR,MkNN,7,5,LLGC,x1,0.3,0.4274,0.1699,0.8500
CSTR,MkNN,7,5,LLGC,x1,0.5,0.4296,0.1704,0.8500
CSTR,MkNN,7,5,LLGC,x1,0.7,0.4289,0.1701,0.8500
CSTR,MkNN,7,5,LLGC,x1,0.9,0.4210,0.1731,0.8500
CSTR,MkNN,7,5,LLGC,x2,0.1,0.4820,0.1545,0.8950
CSTR,MkNN,7,5,LLGC,x2,0.3,0.4868,0.1528,0.8950
CSTR,MkNN,7,5,LLGC,x2,0.5,0.4939,0.1515,0.8950
CSTR,MkNN,7,5,LLGC,x2,0.7,0.5067,0.1477,0.8950
CSTR,MkNN,7,5,LLGC,x2,0.9,0.5376,0.1231,0.8950
CSTR,MkNN,7,5,LLGC,x5,0.1,0.5570,0.1200,0.9320
CSTR,MkNN,7,5,LLGC,x5,0.3,0.5649,0.1147,0.9320
CSTR,MkNN,7,5,LLGC,x5,0.5,0.5753,0.1105,0.9320
CSTR,MkNN,7,5,LLGC,x5,0.7,0.5945,0.0995,0.9320
CSTR,MkNN,7,5,LLGC,x5,0.9,0.6612,0.0810,0.9320
CSTR,MkNN,7,5,LLGC,x10,0.1,0.5921,0.0922,0.9310
CSTR,MkNN,7,5,LLGC,x10,0.3,0.6031,0.0844,0.9310
CSTR,MkNN,7,5,LLGC,x10,0.5,0.6164,0.0802,0.9310
CSTR,MkNN,7,5,LLGC,x10,0.7,0.6360,0.0869,0.9310
CSTR,MkNN,7,5,LLGC,x10,0.9,0.6158,0.1364,0.9310
CSTR,MkNN,7,10,LLGC,x1,0.1,0.4340,0.1792,0.8850
CSTR,MkNN,7,10,LLGC,x1,0.3,0.4350,0.1794,0.8850
CSTR,MkNN,7,10,LLGC,x1,0.5,0.4362,0.1804,0.8850
CSTR,MkNN,7,10,LLGC,x1,0.7,0.4387,0.1814,0.8850
CSTR,MkNN,7,10,LLGC,x1,0.9,0.4315,0.1822,0.8850
CSTR,MkNN,7,10,LLGC,x2,0.1,0.4830,0.1686,0.9275
CSTR,MkNN,7,10,LLGC,x2,0.3,0.4859,0.1675,0.9275
CSTR,MkNN,7,10,LLGC,x2,0.5,0.4921,0.1647,0.9275
CSTR,MkNN,7,10,LLGC,x2,0.7,0.5029,0.1620,0.9275
CSTR,MkNN,7,10,LLGC,x2,0.9,0.5395,0.1303,0.9275
CSTR,MkNN,7,10,LLGC,x5,0.1,0.5770,0.1418,0.9365
CSTR,MkNN,7,10,LLGC,x5,0.3,0.5857,0.1362,0.9365
CSTR,MkNN,7,10,LLGC,x5,0.5,0.6005,0.1290,0.9365
CSTR,MkNN,7,10,LLGC,x5,0.7,0.6231,0.1123,0.9365
CSTR,MkNN,7,10,LLGC,x5,0.9,0.6864,0.0555,0.9365
CSTR,MkNN,7,10,LLGC,x10,0.1,0.6103,0.0905,0.9245
CSTR,MkNN,7,10,LLGC,x10,0.3,0.6161,0.0862,0.9245
CSTR,MkNN,7,10,LLGC,x10,0.5,0.6235,0.0864,0.9245
CSTR,MkNN,7,10,LLGC,x10,0.7,0.6367,0.0872,0.9245
CSTR,MkNN,7,10,LLGC,x10,0.9,0.5608,0.2254,0.9245
CSTR,MkNN,7,20,LLGC,x1,0.1,0.3946,0.2135,0.9313
CSTR,MkNN,7,20,LLGC,x1,0.3,0.3946,0.2132,0.9313
CSTR,MkNN,7,20,LLGC,x1,0.5,0.3961,0.2130,0.9313
CSTR,MkNN,7,20,LLGC,x1,0.7,0.3977,0.2119,0.9313
CSTR,MkNN,7,20,LLGC,x1,0.9,0.3994,0.2115,0.9313
CSTR,MkNN,7,20,LLGC,x2,0.1,0.4653,0.2173,0.9481
CSTR,MkNN,7,20,LLGC,x2,0.3,0.4700,0.2183,0.9481
CSTR,MkNN,7,20,LLGC,x2,0.5,0.4758,0.2179,0.9481
CSTR,MkNN,7,20,LLGC,x2,0.7,0.4867,0.2168,0.9481
CSTR,MkNN,7,20,LLGC,x2,0.9,0.5143,0.2073,0.9481
CSTR,MkNN,7,20,LLGC,x5,0.1,0.5462,0.1830,0.9343
CSTR,MkNN,7,20,LLGC,x5,0.3,0.5550,0.1780,0.9343
CSTR,MkNN,7,20,LLGC,x5,0.5,0.5642,0.1752,0.9343
CSTR,MkNN,7,20,LLGC,x5,0.7,0.5889,0.1532,0.9343
CSTR,MkNN,7,20,LLGC,x5,0.9,0.6145,0.1163,0.9343
CSTR,MkNN,7,20,LLGC,x10,0.1,0.5414,0.1344,0.8956
CSTR,MkNN,7,20,LLGC,x10,0.3,0.5356,0.1402,0.8956
CSTR,MkNN,7,20,LLGC,x10,0.5,0.5362,0.1597,0.8956
CSTR,MkNN,7,20,LLGC,x10,0.7,0.5305,0.2078,0.8956
CSTR,MkNN,7,20,LLGC,x10,0.9,0.4120,0.3612,0.8956
CSTR,MkNN,7,30,LLGC,x1,0.1,0.4793,0.1450,0.9344
CSTR,MkNN,7,30,LLGC,x1,0.3,0.4806,0.1422,0.9344
CSTR,MkNN,7,30,LLGC,x1,0.5,0.4816,0.1399,0.9344
CSTR,MkNN,7,30,LLGC,x1,0.7,0.4828,0.1353,0.9344
CSTR,MkNN,7,30,LLGC,x1,0.9,0.4862,0.1278,0.9344
CSTR,MkNN,7,30,LLGC,x2,0.1,0.5667,0.1347,0.9372
CSTR,MkNN,7,30,LLGC,x2,0.3,0.5708,0.1343,0.9372
CSTR,MkNN,7,30,LLGC,x2,0.5,0.5813,0.1277,0.9372
CSTR,MkNN,7,30,LLGC,x2,0.7,0.5917,0.1211,0.9372
CSTR,MkNN,7,30,LLGC,x2,0.9,0.6204,0.0973,0.9372
CSTR,MkNN,7,30,LLGC,x5,0.1,0.6198,0.0819,0.9089
CSTR,MkNN,7,30,LLGC,x5,0.3,0.6295,0.0728,0.9089
CSTR,MkNN,7,30,LLGC,x5,0.5,0.6301,0.0720,0.9089
CSTR,MkNN,7,30,LLGC,x5,0.7,0.6311,0.0580,0.9089
CSTR,MkNN,7,30,LLGC,x5,0.9,0.5677,0.0858,0.9089
CSTR,MkNN,7,30,LLGC,x10,0.1,0.0000,0.0000,0.7720
